
4K,#genre#
广东卫视4K,http://101.35.240.114:88/live.php?id=广东卫视4K$LR•IPV4•5『线路5』
深圳卫视4K,http://nn.7x9d.cn/深圳最新.php?id=szws4k$LR•IPV4•8『线路1』
深圳卫视4K,http://43.251.226.89:8080/play/919.m3u8$LR•IPV4•8『线路2』
深圳卫视4K,https://livepull-tcms.sztv.com.cn:443/live/sz4Kpgm.m3u8$LR•IPV4•8『线路3』
深圳卫视4K,http://8.138.7.223/tv/gd.php?id=0201$LR•IPV4•8『线路4』
深圳卫视4K,http://ikuai.haleeyo.cn:9003/udp/239.77.1.14:5146$LR•IPV4•8『线路5』
深圳卫视4K,http://27.184.29.189:4022/rtp/239.254.201.68:6000$LR•IPV4•8『线路6』
深圳卫视4K,http://120.201.232.170:80/snctcc-tvod.tx-cdn.gitv.tv/gitv_live/G_SHENZHEN-4K/G_SHENZHEN-4K.m3u8?p=GITV&area=JS_CMCC_CP$LR•IPV4•8『线路7』
深圳卫视4K,http://101.35.240.114:88/live.php?id=深圳卫视4K$LR•IPV4•8『线路8』
南国都市4K,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de$LR•IPV4•2『线路1』
南国都市4K,http://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=140110ae3d6c936a77f94c4f4d85b0d3&txTime=18d57929bd4$LR•IPV4•2『线路2』
北京卫视4K,http://43.251.226.89:8080/play/918.m3u8$LR•IPV4•4『线路1』
北京卫视4K,http://8.138.7.223/tv/btime.php?id=bjws4k$LR•IPV4•4『线路2』
北京卫视4K,http://101.35.240.114:88/live.php?id=北京卫视$LR•IPV4•4『线路3』
北京卫视4K,http://106.53.99.30/tv/api.php?id=bjws4k$LR•IPV4•4『线路4』
CCTV4K,http://101.43.145.141:12002/gaoma/cctv4k.m3u8$LR•IPV4•6『线路1』
CCTV4K,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227140/index.m3u8$LR•IPV4•6『线路2』
CCTV4K,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4k_mbd.m3u8?auth_key=1786129200-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-731fda11eed1ec505069ad79c82e6619&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c$LR•IPV4•6『线路3』
CCTV4K,http://198.204.240.250:82/live/cctv4k.m3u8$LR•IPV4•6『线路4』
CCTV4K,http://fn.tmde.top:35455/nptv/cctv4k.m3u8$LR•IPV4•6『线路5』
CCTV4K,http://xc.mfykeke.top:35455/nptv/cctv4k.m3u8$LR•IPV4•6『线路6』

8K,#genre#
北京纪实8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8$LR•IPV4•2『线路1』
北京纪实8K,http://101.35.240.114:88/brtv8k.php$LR•IPV4•2『线路2』
CCTV8K,http://192.151.150.154/live/cctv8k.m3u8$LR•IPV4•3『线路1』
CCTV8K,http://fn.tmde.top:35455/nptv/cctv8k.m3u8$LR•IPV4•3『线路2』
CCTV8K,http://xc.mfykeke.top:35455/nptv/cctv8k.m3u8$LR•IPV4•3『线路3』

央视,#genre#
CCTV1,http://112.123.243.37:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4•58『线路1』
CCTV1,http://111.8.224.6:9999/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•58『线路2』
CCTV1,http://123.118.55.165:45237/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•58『线路3』
CCTV1,http://139.227.21.22:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•58『线路4』
CCTV1,http://61.178.227.57:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•58『线路5』
CCTV1,http://223.78.65.165:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•58『线路6』
CCTV1,http://183.129.255.66:8480/hls/1/index.m3u8$LR•IPV4•58『线路7』
CCTV1,http://120.40.39.246:352/newlive/live/hls/1/live.m3u8$LR•IPV4•58『线路8』
CCTV1,http://111.4.59.41:60901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4•58『线路9』
CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8$LR•IPV4•58『线路10』
CCTV1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009$LR•IPV4•58『线路11』
CCTV1,http://112.46.105.20:8009/hls/501/index.m3u8$LR•IPV4•58『线路12』
CCTV1,http://153.0.171.163:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•58『线路13』
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8$LR•IPV4•58『线路14』
CCTV1,http://59.110.175.70:23567/PLTV/651/224/3221226736/1.m3u8$LR•IPV4•58『线路15』
CCTV1,http://t.061899.xyz/tl/tl.php?id=cctv1$LR•IPV4•58『线路16』
CCTV1,http://live.bypbwxx.top/live/zhibojm-yangshi.php?token=b4829f0a5cdcff84fe2c540b11ee29$LR•IPV4•58『线路17』
CCTV1,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv1&zy.m3u8$LR•IPV4•58『线路18』
CCTV1,http://45.192.97.170:8880/play/1220.m3u8$LR•IPV4•58『线路19』
CCTV1,http://45.192.97.170:8880/play/1.m3u8$LR•IPV4•58『线路20』
CCTV1,http://f.123.rr.kg/163189/cctv1$LR•IPV4•58『线路21』
CCTV1,http://m.061899.xyz/mg/cctv1$LR•IPV4•58『线路22』
CCTV1,http://119.233.255.62:1234/608807420$LR•IPV4•58『线路23』
CCTV1,http://47.104.178.59:3566/608807420$LR•IPV4•58『线路24』
CCTV1,https://live.chinacert.cftest5.cn/cnmg/live/608807420$LR•IPV4•58『线路25』
CCTV1,http://k.061899.xyz/k.php?id=cctv1$LR•IPV4•58『线路26』
CCTV1,http://211.101.246.28:3000/608807420$LR•IPV4•58『线路27』
CCTV1,http://116.10.203.183:3566/608807420$LR•IPV4•58『线路28』
CCTV1,http://182.85.163.168:5678/608807420$LR•IPV4•58『线路29』
CCTV1,http://mg.cttv.vip/608807420$LR•IPV4•58『线路30』
CCTV1,http://fn.gcl.de5.net:5908/gsh950428/608807420$LR•IPV4•58『线路31』
CCTV1,http://120.4.126.153:1234/608807420$LR•IPV4•58『线路32』
CCTV1,http://47.119.24.76:59093/608807420$LR•IPV4•58『线路33』
CCTV1,http://45.78.61.93:1234/608807420$LR•IPV4•58『线路34』
CCTV1,http://139.155.89.87:1000/608807420$LR•IPV4•58『线路35』
CCTV1,http://111.29.9.33:6610/000000001000/1000000001000021973/index.m3u8?channel-id=bestzb&Contentid=1000000001000021973&livemode=1&stbId=3$LR•IPV4•58『线路36』
CCTV1,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8$LR•IPV4•58『线路37』
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/index.m3u8$LR•IPV4•58『线路38』
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227088/index.m3u8$LR•IPV4•58『线路39』
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8$LR•IPV4•58『线路40』
CCTV1,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227209/index.m3u8$LR•IPV4•58『线路41』
CCTV1,http://47.100.80.251:50001/608807420$LR•IPV4•58『线路42』
CCTV1,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=bestzb&Contentid=5000000004000002226&livemode=1&stbId=yu&mode=1&$LR•IPV4•58『线路43』
CCTV1,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=bestzb&Contentid=5000000010000030810&livemode=1&stbId=yu&mode=1&$LR•IPV4•58『线路44』
CCTV1,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=yu&mode=1&$LR•IPV4•58『线路45』
CCTV1,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000021973&livemode=1&stbId=yu&mode=1&$LR•IPV4•58『线路46』
CCTV1,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=yu&mode=1&$LR•IPV4•58『线路47』
CCTV1,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=reallive-cctv1&livemode=1&stbId=yu&mode=1&$LR•IPV4•58『线路48』
CCTV1,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=bestzb&Contentid=5000000001000004953&livemode=1&stbId=yu&mode=1&$LR•IPV4•58『线路49』
CCTV1,http://111.29.9.35:6610/000000001000/1000000001000018602/index.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=3$LR•IPV4•58『线路50』
CCTV1,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?$LR•IPV6•58『线路51』
CCTV1,http://221.7.175.154:8445/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•58『线路52』
CCTV1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd$LR•IPV4•58『线路53』
CCTV1,http://204.12.221.218:8181/3m1080p/cctv1.m3u8$LR•IPV4•58『线路54』
CCTV1,http://198.204.228.26/live/cctv1hd.m3u8$LR•IPV4•58『线路55』
CCTV1,http://173.208.212.130:8181/720p/cctv1.m3u8$LR•IPV4•58『线路56』
CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8$LR•IPV4•58『线路57』
CCTV1,http://69.30.245.50/live/cctv1.m3u8$LR•IPV4•58『线路58』
CCTV2,http://111.8.224.6:9999/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•50『线路1』
CCTV2,http://107.150.60.122/live/cctv2hd.m3u8$LR•IPV4•50『线路2』
CCTV2,http://192.151.150.154/live/cctv2hd.m3u8$LR•IPV4•50『线路3』
CCTV2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009$LR•IPV4•50『线路4』
CCTV2,http://173.208.212.130:8181/720p/cctv2.m3u8$LR•IPV4•50『线路5』
CCTV2,http://153.0.171.163:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•50『线路6』
CCTV2,http://112.27.235.94:8000/hls/2/index.m3u8$LR•IPV4•50『线路7』
CCTV2,http://112.46.105.20:8009/hls/502/index.m3u8$LR•IPV4•50『线路8』
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8$LR•IPV4•50『线路9』
CCTV2,http://59.110.175.70:23567/PLTV/651/224/3221226739/1.m3u8$LR•IPV4•50『线路10』
CCTV2,http://t.061899.xyz/tl/tl.php?id=cctv2$LR•IPV4•50『线路11』
CCTV2,http://live.bypbwxx.top/live/zhibojm-yangshi.php?token=97d40bfb13291fb2022d1efd573c2f$LR•IPV4•50『线路12』
CCTV2,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv2&zy.m3u8$LR•IPV4•50『线路13』
CCTV2,http://45.192.97.170:8880/play/1221.m3u8$LR•IPV4•50『线路14』
CCTV2,http://45.192.97.170:8880/play/2.m3u8$LR•IPV4•50『线路15』
CCTV2,http://f.123.rr.kg/163189/cctv2$LR•IPV4•50『线路16』
CCTV2,http://m.061899.xyz/mg/cctv2$LR•IPV4•50『线路17』
CCTV2,http://119.233.255.62:1234/631780532$LR•IPV4•50『线路18』
CCTV2,http://47.104.178.59:3566/631780532$LR•IPV4•50『线路19』
CCTV2,https://live.chinacert.cftest5.cn/cnmg/live/631780532$LR•IPV4•50『线路20』
CCTV2,http://k.061899.xyz/k.php?id=cctv2$LR•IPV4•50『线路21』
CCTV2,http://211.101.246.28:3000/631780532$LR•IPV4•50『线路22』
CCTV2,http://116.10.203.183:3566/631780532$LR•IPV4•50『线路23』
CCTV2,http://182.85.163.168:5678/631780532$LR•IPV4•50『线路24』
CCTV2,http://mg.cttv.vip/631780532$LR•IPV4•50『线路25』
CCTV2,http://fn.gcl.de5.net:5908/gsh950428/631780532$LR•IPV4•50『线路26』
CCTV2,http://120.4.126.153:1234/631780532$LR•IPV4•50『线路27』
CCTV2,http://47.119.24.76:59093/631780532$LR•IPV4•50『线路28』
CCTV2,http://45.78.61.93:1234/631780532$LR•IPV4•50『线路29』
CCTV2,http://139.155.89.87:1000/631780532$LR•IPV4•50『线路30』
CCTV2,http://111.29.9.33:6610/000000001000/1000000001000012442/index.m3u8?channel-id=bestzb&Contentid=1000000001000012442&livemode=1&stbId=3$LR•IPV4•50『线路31』
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8$LR•IPV4•50『线路32』
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8$LR•IPV4•50『线路33』
CCTV2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/index.m3u8$LR•IPV4•50『线路34』
CCTV2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225762/index.m3u8$LR•IPV4•50『线路35』
CCTV2,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227206/index.m3u8$LR•IPV4•50『线路36』
CCTV2,http://47.100.80.251:50001/631780532$LR•IPV4•50『线路37』
CCTV2,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=bestzb&Contentid=5000000005000031113&livemode=1&stbId=yu&mode=1&$LR•IPV4•50『线路38』
CCTV2,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=bestzb&Contentid=5000000011000031101&livemode=1&stbId=yu&mode=1&$LR•IPV4•50『线路39』
CCTV2,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000012442&livemode=1&stbId=yu&mode=1&$LR•IPV4•50『线路40』
CCTV2,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=yu&mode=1&$LR•IPV4•50『线路41』
CCTV2,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265002&livemode=1&stbId=yu&mode=1&$LR•IPV4•50『线路42』
CCTV2,http://111.29.9.34:6610/000000001000/1000000001000012442/index.m3u8?channel-id=ystenlive&Contentid=1000000001000012442&livemode=1&stbId=3$LR•IPV4•50『线路43』
CCTV2,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8?$LR•IPV6•50『线路44』
CCTV2,http://116.128.243.121:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4•50『线路45』
CCTV2,http://113.57.140.161:10081/newlive/live/hls/2/live.m3u8$LR•IPV4•50『线路46』
CCTV2,http://bztv.tvbus.cc:8081/cdnlive/cctv2.m3u8$LR•IPV4•50『线路47』
CCTV2,http://69.30.245.50/live/cctv2.m3u8$LR•IPV4•50『线路48』
CCTV2,http://204.12.221.218:8181/3m1080p/cctv2.m3u8$LR•IPV4•50『线路49』
CCTV2,http://74.91.26.218:82/live/cctv2hd.m3u8$LR•IPV4•50『线路50』
CCTV3,http://112.27.5.218:9901/tsfile/live/faacts/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•49『线路1』
CCTV3,http://113.57.140.161:10081/newlive/live/hls/3/live.m3u8$LR•IPV4•49『线路2』
CCTV3,http://123.118.55.165:45237/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•49『线路3』
CCTV3,http://111.8.224.6:9999/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•49『线路4』
CCTV3,http://bztv.tvbus.cc:8081/cdnlive/cctv3.m3u8$LR•IPV4•49『线路5』
CCTV3,http://107.150.60.122/live/cctv3hd.m3u8$LR•IPV4•49『线路6』
CCTV3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009$LR•IPV4•49『线路7』
CCTV3,http://120.198.95.220:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&down=1$LR•IPV4•49『线路8』
CCTV3,http://112.27.235.94:8000/hls/3/index.m3u8$LR•IPV4•49『线路9』
CCTV3,http://112.46.105.20:8009/hls/3/index.m3u8$LR•IPV4•49『线路10』
CCTV3,http://153.0.171.163:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•49『线路11』
CCTV3,http://74.91.26.218:82/live/cctv3hd.m3u8$LR•IPV4•49『线路12』
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8$LR•IPV4•49『线路13』
CCTV3,http://59.110.175.70:23567/PLTV/651/224/3221226720/1.m3u8$LR•IPV4•49『线路14』
CCTV3,http://t.061899.xyz/tl/tl.php?id=cctv3$LR•IPV4•49『线路15』
CCTV3,http://live.bypbwxx.top/live/zhibojm-yangshi.php?token=e179c8947371d8eee3f290a2049071$LR•IPV4•49『线路16』
CCTV3,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv3&zy.m3u8$LR•IPV4•49『线路17』
CCTV3,http://45.192.97.170:8880/play/1222.m3u8$LR•IPV4•49『线路18』
CCTV3,http://45.192.97.170:8880/play/3.m3u8$LR•IPV4•49『线路19』
CCTV3,http://f.123.rr.kg/163189/cctv3$LR•IPV4•49『线路20』
CCTV3,http://m.061899.xyz/mg/cctv3$LR•IPV4•49『线路21』
CCTV3,http://119.233.255.62:1234/624878271$LR•IPV4•49『线路22』
CCTV3,http://47.104.178.59:3566/624878271$LR•IPV4•49『线路23』
CCTV3,https://live.chinacert.cftest5.cn/cnmg/live/624878271$LR•IPV4•49『线路24』
CCTV3,http://k.061899.xyz/k.php?id=cctv3$LR•IPV4•49『线路25』
CCTV3,http://211.101.246.28:3000/624878271$LR•IPV4•49『线路26』
CCTV3,http://116.10.203.183:3566/624878271$LR•IPV4•49『线路27』
CCTV3,http://182.85.163.168:5678/624878271$LR•IPV4•49『线路28』
CCTV3,http://mg.cttv.vip/624878271$LR•IPV4•49『线路29』
CCTV3,http://fn.gcl.de5.net:5908/gsh950428/624878271$LR•IPV4•49『线路30』
CCTV3,http://120.4.126.153:1234/624878271$LR•IPV4•49『线路31』
CCTV3,http://47.119.24.76:59093/624878271$LR•IPV4•49『线路32』
CCTV3,http://45.78.61.93:1234/624878271$LR•IPV4•49『线路33』
CCTV3,http://139.155.89.87:1000/624878271$LR•IPV4•49『线路34』
CCTV3,http://111.29.9.33:6610/000000001000/1000000001000011218/index.m3u8?channel-id=bestzb&Contentid=1000000001000011218&livemode=1&stbId=3$LR•IPV4•49『线路35』
CCTV3,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8$LR•IPV4•49『线路36』
CCTV3,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227067/index.m3u8$LR•IPV4•49『线路37』
CCTV3,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8$LR•IPV4•49『线路38』
CCTV3,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227215/index.m3u8$LR•IPV4•49『线路39』
CCTV3,http://47.100.80.251:50001/624878271$LR•IPV4•49『线路40』
CCTV3,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=bestzb&Contentid=5000000002000020548&livemode=1&stbId=yu&mode=1&$LR•IPV4•49『线路41』
CCTV3,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1&stbId=yu&mode=1&$LR•IPV4•49『线路42』
CCTV3,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=yu&mode=1&$LR•IPV4•49『线路43』
CCTV3,http://111.29.9.38:6610/000000001000/1000000001000011218/index.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1&stbId=3$LR•IPV4•49『线路44』
CCTV3,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226471/1.m3u8?$LR•IPV6•49『线路45』
CCTV3,http://221.7.175.154:8445/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•49『线路46』
CCTV3,http://69.30.245.50/live/cctv3.m3u8$LR•IPV4•49『线路47』
CCTV3,http://204.12.221.218:8181/3m1080p/cctv3.m3u8$LR•IPV4•49『线路48』
CCTV3,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd$LR•IPV4•49『线路49』
CCTV4,http://111.8.224.6:9999/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•83『线路1』
CCTV4,http://bztv.tvbus.cc:8081/cdnlive/cctv4.m3u8$LR•IPV4•83『线路2』
CCTV4,http://173.208.212.130:8181/1080p/cctv4.m3u8$LR•IPV4•83『线路3』
CCTV4,http://123.118.55.165:45237/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•83『线路4』
CCTV4,http://1.24.39.180:9003/hls/4/index.m3u8$LR•IPV4•83『线路5』
CCTV4,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009$LR•IPV4•83『线路6』
CCTV4,http://112.30.73.119:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4•83『线路7』
CCTV4,https://dash2.antik.sk/live/test_cctv_tizen/playlist.m3u8$LR•IPV4•83『线路8』
CCTV4,http://112.46.105.20:8009/hls/4/index.m3u8$LR•IPV4•83『线路9』
CCTV4,http://153.0.171.163:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•83『线路10』
CCTV4,http://74.91.26.218:82/live/cctv4hd.m3u8$LR•IPV4•83『线路11』
CCTV4,p3p://167.114.175.6:55331/61244d9c0006885d64b1b7591f6c12a0$LR•IPV4•83『线路12』
CCTV4,http://120.76.248.139/live/bfgd/4200000063.m3u8$LR•IPV4•83『线路13』
CCTV4,http://59.110.175.70:23567/PLTV/651/224/3221226725/1.m3u8$LR•IPV4•83『线路14』
CCTV4,http://t.061899.xyz/tl/tl.php?id=cctv4$LR•IPV4•83『线路15』
CCTV4,http://live.bypbwxx.top/live/zhibojm-yangshi.php?token=5418e7c9bfdcc8420045836051c9df$LR•IPV4•83『线路16』
CCTV4,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv4&zy.m3u8$LR•IPV4•83『线路17』
CCTV4,http://45.192.97.170:8880/play/1223.m3u8$LR•IPV4•83『线路18』
CCTV4,http://45.192.97.170:8880/play/4.m3u8$LR•IPV4•83『线路19』
CCTV4,http://45.192.97.170:8880/play/18.m3u8$LR•IPV4•83『线路20』
CCTV4,http://45.192.97.170:8880/play/19.m3u8$LR•IPV4•83『线路21』
CCTV4,http://f.123.rr.kg/163189/cctv4$LR•IPV4•83『线路22』
CCTV4,http://m.061899.xyz/mg/cctv4$LR•IPV4•83『线路23』
CCTV4,http://119.233.255.62:1234/631780421$LR•IPV4•83『线路24』
CCTV4,http://119.233.255.62:1234/608807419$LR•IPV4•83『线路25』
CCTV4,http://119.233.255.62:1234/608807416$LR•IPV4•83『线路26』
CCTV4,http://47.104.178.59:3566/631780421$LR•IPV4•83『线路27』
CCTV4,http://47.104.178.59:3566/608807419$LR•IPV4•83『线路28』
CCTV4,http://47.104.178.59:3566/608807416$LR•IPV4•83『线路29』
CCTV4,https://live.chinacert.cftest5.cn/cnmg/live/631780421$LR•IPV4•83『线路30』
CCTV4,https://live.chinacert.cftest5.cn/cnmg/live/608807419$LR•IPV4•83『线路31』
CCTV4,https://live.chinacert.cftest5.cn/cnmg/live/608807416$LR•IPV4•83『线路32』
CCTV4,http://k.061899.xyz/k.php?id=cctv4$LR•IPV4•83『线路33』
CCTV4,http://211.101.246.28:3000/631780421$LR•IPV4•83『线路34』
CCTV4,http://211.101.246.28:3000/608807419$LR•IPV4•83『线路35』
CCTV4,http://211.101.246.28:3000/608807416$LR•IPV4•83『线路36』
CCTV4,http://116.10.203.183:3566/631780421$LR•IPV4•83『线路37』
CCTV4,http://116.10.203.183:3566/608807419$LR•IPV4•83『线路38』
CCTV4,http://116.10.203.183:3566/608807416$LR•IPV4•83『线路39』
CCTV4,http://182.85.163.168:5678/631780421$LR•IPV4•83『线路40』
CCTV4,http://182.85.163.168:5678/608807419$LR•IPV4•83『线路41』
CCTV4,http://182.85.163.168:5678/608807416$LR•IPV4•83『线路42』
CCTV4,http://mg.cttv.vip/631780421$LR•IPV4•83『线路43』
CCTV4,http://mg.cttv.vip/608807419$LR•IPV4•83『线路44』
CCTV4,http://mg.cttv.vip/608807416$LR•IPV4•83『线路45』
CCTV4,http://fn.gcl.de5.net:5908/gsh950428/631780421$LR•IPV4•83『线路46』
