🌙月光宝盒,#genre#
東森新聞,http://s1.an94tv.cfd/zhongtian/CH-1/AKTV.m3u8

翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
华丽翡翠台,http://php.jdshipin.com/smt.php?id=Tvbjade
无线新闻台, http://php.jdshipin.com/smt.php?id=inews_twn
TVB星河, http://php.jdshipin.com/smt.php?id=Xinhe
千禧经典台, http://php.jdshipin.com/smt.php?id=Tvbclassic
宝盒没宝,https://gitee.com/baohe2025/bh/raw/master/bh.mp4
TVB娱乐新闻台,http://php.jdshipin.com/smt.php?id=Tvbentertainment
天映频道, http://php.jdshipin.com/smt.php?id=Celestial
天映经典,http://php.jdshipin.com/smt.php?id=Celestial2
Astro AOD,http://php.jdshipin.com/smt.php?id=Aodhd
Astro AEC,http://php.jdshipin.com/smt.php?id=AEC
爱奇艺,http://php.jdshipin.com/smt.php?id=Qiyi
Astro QJ,http://php.jdshipin.com/smt.php?id=Quanjia
Astro欢喜台,http://php.jdshipin.com/smt.php?id=Huahee
八度空间,http://php.jdshipin.com/smt.php?id=TV8
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
翡翠台北美版(TVB J1),http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVB J1,http://php.jdshipin.com/TVOD/iptv.php?id=tvbj1
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=tvbp
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2
美亚电影,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
RTHK31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
CCTV1港澳版,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33


🌈宝盒没宝,#genre#
龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龙华经典,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
龙华卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
龙华偶像,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龙华日韩,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
龙华戏剧,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
宝盒没宝,https://gitee.com/baohe2025/bh/raw/master/bh.mp4

星空卫视,http://iot-mqqt.111yao.cn:8080/live/diyp_xingkong.m3u8
凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
18台,http://bx.757888.xyz/api.php?id=18
TVB Plus,http://bx.757888.xyz/api.php?id=tvbp
明珠台,http://bx.757888.xyz/api.php?id=mz
無線新聞台,http://bx.757888.xyz/api.php?id=wxxw
美亞電影台,http://bx.757888.xyz/api.php?id=meiya
翡翠台,http://bx.757888.xyz/api.php?id=fct
鳳凰中文,http://bx.757888.xyz/api.php?id=fhzw
鳳凰資訊,http://bx.757888.xyz/api.php?id=fhzx
鳳凰香港,http://bx.757888.xyz/api.php?id=fhhk
中天新聞台(维护),http://bx.757888.xyz/api.php?id=ztxw
翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
华丽翡翠台,http://php.jdshipin.com/smt.php?id=Tvbjade
无线新闻台, http://php.jdshipin.com/smt.php?id=inews_twn
TVB星河, http://php.jdshipin.com/smt.php?id=Xinhe
千禧经典台, http://php.jdshipin.com/smt.php?id=Tvbclassic
TVB娱乐新闻台,http://php.jdshipin.com/smt.php?id=Tvbentertainment
天映频道, http://php.jdshipin.com/smt.php?id=Celestial
天映经典,http://php.jdshipin.com/smt.php?id=Celestial2
Astro AOD,http://php.jdshipin.com/smt.php?id=Aodhd
Astro AEC,http://php.jdshipin.com/smt.php?id=AEC
爱奇艺,http://php.jdshipin.com/smt.php?id=Qiyi
Astro QJ,http://php.jdshipin.com/smt.php?id=Quanjia
Astro欢喜台,http://php.jdshipin.com/smt.php?id=Huahee
八度空间,http://php.jdshipin.com/smt.php?id=TV8
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
翡翠台北美版(TVB J1),http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVB J1,http://php.jdshipin.com/TVOD/iptv.php?id=tvbj1
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=tvbp
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2
美亚电影,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
RTHK31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
CCTV1港澳版,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
音乐台,https://kq.bgp.68tool.com/video/m3u8/2022/08/17/e4ce2ac7/playlist.m3u8
翡翠台,http://aktv_stream1.m16tv.cfd/stream/aktv/null/AKTV.m3u8
凤凰卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
凤凰中文,https://cdn.163189.xyz/live/fhzw/stream.m3u8 
凤凰中文,http://aktv_stream1.m16tv.cfd/stream/aktv/null-3/AKTV.m3u8
凤凰资讯,http://aktv_stream1.m16tv.cfd/stream/aktv/null-4/AKTV.m3u8
凤凰资讯,https://cdn3.163189.xyz/live/fhzx/stream.m3u8 
凤凰香港,https://cdn3.163189.xyz/live/fhxg/stream.m3u8
凤凰香港,http://aktv_stream1.m16tv.cfd/stream/aktv/null-5/AKTV.m3u8
美亚电影,http://aktv_stream1.m16tv.cfd/stream/aktv/hk-1/AKTV.m3u8
凤凰电影,https://tv.bfsu.edu.cn/hls/fhdy.m3u8
经典电影,http://ali.hlspull.yximgs.com/live/asdfgjddydy001.flv
popc电影,http://aktv_stream1.m16tv.cfd/stream/aktv/popc/AKTV.m3u8
亞洲衛視,https://p2hs.vzan.com/slowlive/821481626725612419/live.m3u8
临夏市台,http://124.152.34.102:8030/wCMq71/wCMq71_0.m3u8
沭阳综合,http://shuyang-tv-hls.cm.jstv.com/shuyang-tv/shuyangzh.m3u8
水浒传轮播,http://1.94.31.214:35455/huya/26355860
黄埔慢直播,https://pili-live-hls.wdit.com.cn/wditlive/2ccda390789949a6ac77296923d94d8e140d.m3u8
四川文化旅游,http://api.dbkan.cdn.iptv.xin:2052/api.dbkan.com/hn/301
四川妇女儿童,http://api.dbkan.cdn.iptv.xin:2052/api.dbkan.com/hn/303
四川经济,http://api.dbkan.cdn.iptv.xin:2052/api.dbkan.com/hn/302
四川科教,http://api.dbkan.cdn.iptv.xin:2052/api.dbkan.com/hn/304
峨眉电影,http://api.dbkan.cdn.iptv.xin:2052/api.dbkan.com/hn/306

韩国新闻,http://amdlive.ctnd.com.edgesuite.net:80/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8


TVBUS,#genre#

香港|POPC电影台,tvbus://12vc6e6aTsVn1JbcfPp8mpVjBR7gUUNx333jE2WrvsSZgjUrBUT
香港|天映经典(国语),tvbus://13xo2rHX4SMc7moaLmZDBaarTqfRZX6wJZ8qTFPBL4Vj5jyPXR
香港|香港美亚电影(国语),tvbus://123P7D9rBzcFWyRaKsEkWstrdNwk9ZUebgNewUH3DX2eL7W26rm

央视|CCTV-1HD,tvbus://1R2rjku2cnbNkbD5YGrAfGoLwY7VYjgnVBkYidtfwvudh2toyM
央视|CCTV-2HD,tvbus://1gmWp3J2rDLkhZ3onyF6J9tPkzxpUFfXjFJwjrcqhXpCpL9wDS
央视|CCTV-3HD,tvbus://1UcA1N2GCm2BKNnXCiWZ7P6LoWqAwgCqVgjBjE46RGdpedF6DU
央视|CCTV-4HD,tvbus://1StD4vXVfrTYHcUk6ToB6PhdkcdDtNUG9HeN8B4gpr3aRF5P66
央视|CCTV-5HD,tvbus://12vQm3ScjY64cS6nuXUSEx2E6EvJVr5fDn84gwVZQQGeSLNVHzU
央视|CCTV-6HD,tvbus://12kc69oYTt3JtqJZtxLHQvAENMm3EhT6fBDJahBemGj6m7FQxYA
央视|CCTV-7HD,tvbus://1rKhpxR8NcbX4oFrKdxR3G6DLPCrfhKNNnx2onvjFvG1zfYc72
央视|CCTV-8HD,tvbus://12ETgtVPQ59Q98uj6entfJ1KLnuqm8nNay3wFRpEy7yrBejZ93F
央视|CCTV-9HD,tvbus://12FzVWrD4EA1SqP7GDAjKqPn4hn4RrcdQhccqvdH2MidHR2jPT9
央视|CCTV-10HD,tvbus://1gLG4H4c6bdSAXXZXpVCyqNcHB3D9gLX6ZNukRnB94eEXRkhWb
央视|CCTV-11HD,tvbus://12m2gK9i8cZZ7iFL3n7jCYb416b1FTAbE5xZxwHAyLkxRaTvSdT
央视|CCTV-12HD,tvbus://19rgeaRyYYoqVshfXTwENrJjrZgjtarbiauCePwtXfSPfvbPtE
央视|CCTV-13HD,tvbus://1pZKwxrbU8WWEQtkyLw1YNhjc94c4X8QC8bak1M9ThrzWaPGD9
央视|CCTV-14HD,tvbus://12pyb7tsvGreWCeys8X5uDDwZpKyJEeiE4s3WyHFChtP1TCeYr3
央视|CCTV-15HD,tvbus://1ST5BMFBkmnxaeBvTR4tLtxY5UmX5TLLXB34Hooj9P5r6xH5At
央视|CCTV-16HD,tvbus://1c1p7uQGp2ZhxGLMa1QEEVcZqzrAQ6TPnjRkdp3fdRhRErdT2o
央视|CCTV-17HD,tvbus://1cxbfzDyYTotw1VFAsoM88dDZanYL9scu1TPetQAuAnWwLQkMq
央视|CCTV-5+HD,tvbus://13BcLjwpZHFyxGcZdGLreoMYwhcifjqsjZ3Yw652PQdM9tXpTf
央视|CCTV-4K超高清,tvbus://1bizVTMap9Teew8brSN9UaVjxKMN9apJjWeENrpnQCEHQS9hmJ
央视|CCTV-兵器科技,tvbus://12FXhrDEHG3R4YyzJhJo4yNSbUp4B73KuzpdSPn1tsB39Xw1toy
央视|CCTV-第一剧场,tvbus://12aqMAN5TxTSg5ftrgGD9ykV6UdeiV1JxM8KZ4rrPopShYPxnwK
央视|CCTV-风云剧场,tvbus://12rie3GwD5cXLzw921yf3iXFhnZbe9CcKKrT7qQXQkLraVevVNm
央视|CCTV-怀旧剧场,tvbus://12fCpmbN74HGdEBBEx46oRziSeHwXJTMVSq7zyinNL2DTqeKQys
央视|CCTV-央视台球,tvbus://12sMEnYrZLEkqx5QeDKZFy9HNtE1X4Si5LN7zduiHWR1KatPQYR
央视|CCTV-世界地理,tvbus://12HD8nGpGrpbMwo2BGznQCymqfHLieiArXtpXxa1YcJiRpjNAsd
央视|CCTV-风云音乐,tvbus://181M63yB8ozMxtGXQvN3murVKuQsQRsdATww9x6G9i28ZN5kf7
央视|CCTV-风云足球,tvbus://1pAmDMHLByhJTwB3fmYs7Rt2f9kb9rZsYnjxyiWBKERFUQkBvi
央视|CCTV-女性时尚,tvbus://1nkE3jkLTw5dV2Rvo7Gk3AvaRTNh6kKtQtAGDYJ9F6d4ogYCZp
卫视|湖南卫视HD,tvbus://12fur2puaF7mimDPN6o3ALXg3gA9of9CnyygbwGNkBUeMQnxDcD
卫视|浙江卫视HD,tvbus://1Pkjy7dhbwkkT74ugiNd6UJChUuVYGkJ1MtYKdCYwYKBXAC4PQ
广东|广东珠江,tvbus://1BubwAu8k6JHEKfPBfGR5jLMapNUCsnMzauGSW8q1LVdhmoVnj
广东|广东体育,tvbus://1ph6BCENfRMwUxgPPbcyrnjR8LsWBkXY584VEnfChzAvYCDeTj
卫视|大湾区卫视,tvbus://1YyDSLFGguWLFYUr5zD6apRVw5n65Wh62N1TcrtK5KHRjCmvwU
广东|广东民生,tvbus://1evTU4UbJopvZ87vMsbe1b1GJGQbCMawEnNFNeNZd342YdTV2q
广东|广东新闻,tvbus://12Zq7VHwAkfWFuXJUZVAXf6C9zPxWjvN2f4ocu6Taqu2camUzWz
广东|广东影视,tvbus://12EEei6UG55uQBLhya1dGpGAQpjWcFpAmTHLh88g2Q7V3vdSDDX
央视|CCTV-1HD,tvbus://1dTfPxiNBZNPPj85hcrBDNPEnNzcNdLHZUvbgKfANSJkbN8U7C
央视|CCTV-3HD,tvbus://184kNzdQY8wnx2CGtDVTKC2HMPTBEEa8q14cCzGBAUD6B3Zvhj
央视|CCTV-6HD,tvbus://126j944cmjXRiuEsLCPqjD1j2AXtdbwVSYxHqMY63HX4Ggx87du
央视|CCTV-8HD,tvbus://12CLTUnNKNuQx2HmCFB4yHMsweEmymdgLA1j5Wq8mgb7dVevcxw
央视|CCTV-13HD,tvbus://121FyTEGjkj31jeCckCLkeNENpYYEhC4N2ARSzGk8oAvrHmBCb
央视|CCTV-16HD,tvbus://129jJpni5Wiu9Qn6UV9rZ27nA34fVc3gYb424i6X9G1ZM8HCWZ1



央视频道,#genre#
CCTV-1综合,http://60.174.40.117:85/tsfile/live/0001_1.m3u8?key=txiptv
CCTV-2财经,http://60.174.40.117:85/tsfile/live/0002_1.m3u8?key=txiptv
CCTV-3综艺,http://60.174.40.117:85/tsfile/live/0003_1.m3u8?key=txiptv
CCTV-4中文国际,http://60.174.40.117:85/tsfile/live/0004_1.m3u8?key=txiptv
CCTV-5体育,http://60.174.40.117:85/tsfile/live/0005_1.m3u8?key=txiptv
宝盒没宝,https://gitee.com/baohe2025/bh/raw/master/bh.mp4
CCTV-6电影,http://60.174.40.117:85/tsfile/live/0006_1.m3u8?key=txiptv
CCTV-7国防军事,http://60.174.40.117:85/tsfile/live/0007_1.m3u8?key=txiptv
CCTV-8电视剧,http://60.174.40.117:85/tsfile/live/0008_1.m3u8?key=txiptv
CCTV-9纪录,http://60.174.40.117:85/tsfile/live/0009_1.m3u8?key=txiptv
CCTV-10科教,http://60.174.40.117:85/tsfile/live/0010_1.m3u8?key=txiptv
CCTV-11戏曲,http://60.174.40.117:85/tsfile/live/0011_1.m3u8?key=txiptv
CCTV-12社会与法,http://60.174.40.117:85/tsfile/live/0012_1.m3u8?key=txiptv
CCTV-13新闻,http://60.174.40.117:85/tsfile/live/0013_1.m3u8?key=txiptv
CCTV-14少儿,http://60.174.40.117:85/tsfile/live/0014_1.m3u8?key=txiptv
CCTV-15音乐,http://60.174.40.117:85/tsfile/live/0015_1.m3u8?key=txiptv
CCTV-16监听,http://zqh2333.top:2222/rtp/239.93.55.54:5140
CCTV-17农业农村,http://zqh2333.top:2222/rtp/239.93.24.92:5140
CCTV-5+体育赛事,http://zqh2333.top:2222/rtp/239.93.24.36:8004
CCTV-1综合,http://221.226.4.10:85/tsfile/live/0001_1.m3u8?key=txiptv
CCTV-2财经,http://221.226.4.10:85/tsfile/live/0002_1.m3u8?key=txiptv
CCTV-3综艺,http://221.226.4.10:85/tsfile/live/0003_1.m3u8?key=txiptv
CCTV-4中文国际,http://221.226.4.10:85/tsfile/live/0004_1.m3u8?key=txiptv
CCTV-5体育,http://221.226.4.10:85/tsfile/live/1000_1.m3u8?key=txiptv
CCTV-6电影,http://221.226.4.10:85/tsfile/live/0006_1.m3u8?key=txiptv
CCTV-7国防军事,http://221.226.4.10:85/tsfile/live/0007_1.m3u8?key=txiptv
CCTV-8电视剧,http://221.226.4.10:85/tsfile/live/0008_1.m3u8?key=txiptv
CCTV-9纪录,http://221.226.4.10:85/tsfile/live/0009_1.m3u8?key=txiptv
CCTV-10科教,http://221.226.4.10:85/tsfile/live/0010_1.m3u8?key=txiptv
CCTV-11戏曲,http://182.32.159.39:85/tsfile/live/0011_1.m3u8?key=txiptv
CCTV-12社会与法,http://221.226.4.10:85/tsfile/live/0012_1.m3u8?key=txiptv
CCTV-13新闻,http://221.226.4.10:85/tsfile/live/1001_1.m3u8?key=txiptv
CCTV-14少儿,http://221.226.4.10:85/tsfile/live/0014_1.m3u8?key=txiptv
CCTV-15音乐,http://182.32.159.39:85/tsfile/live/0015_1.m3u8?key=txiptv
CCTV-16监听,http://58.221.214.82:9901/tsfile/live/0002_2.m3u8?=txiptv
CCTV-5+体育赛事,http://221.226.4.10:85/tsfile/live/0005_1.m3u8?key=txiptv


卫视频道,#genre#
北京卫视,http://60.174.40.117:85/tsfile/live/1025_1.m3u8?key=txiptv
天津卫视,http://60.174.40.117:85/tsfile/live/1027_1.m3u8?key=txiptv
东方卫视,http://60.174.40.117:85/tsfile/live/1026_1.m3u8?key=txiptv
东南卫视,http://60.174.40.117:85/tsfile/live/0137_1.m3u8?key=txiptv
海南卫视,http://zqh2333.top:2222/rtp/239.93.24.80:5140
广东卫视,http://60.174.40.117:85/tsfile/live/1037_1.m3u8?key=txiptv
宝盒没宝,https://gitee.com/baohe2025/bh/raw/master/bh.mp4
广西卫视,http://60.174.40.117:85/tsfile/live/0113_1.m3u8?key=txiptv
深圳卫视,http://60.174.40.117:85/tsfile/live/1038_1.m3u8?key=txiptv
江苏卫视,http://60.174.40.117:85/tsfile/live/1029_1.m3u8?key=txiptv
