綜合,#genre#
爱悬疑,http://mcr.sakuramoe.dev:5000/TVOD/6000000006000050630/wasusyt/index.m3u8
爱幼教,http://mcr.sakuramoe.dev:5000/TVOD/6000000006000180630/wasusyt/index.m3u8
爱院线,http://mcr.sakuramoe.dev:5000/TVOD/2000000004000000034/hnbblive/index.m3u8
星光影院,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000288013/bestzb/index.m3u8
亚洲影院,http://mcr.sakuramoe.dev:5000/TVOD/5841816227539527643/wasusyt/index.m3u8
黑莓电影,http://mcr.sakuramoe.dev:5000/TVOD/2000000003000000001/hnbblive/index.m3u8

惊悚悬疑,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225665
欢乐剧场,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225742
海外剧场,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225671
爱情喜剧,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225669
精品大剧,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225670
精品纪录,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225672
超级电影,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225717
超级电视剧,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225716
超级综艺,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225714
军事评论,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225668
黑莓动画,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225662
黑莓电影,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225743



体育,#genre#
CCTV-5体育,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226019
CCTV-5+体育赛事,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225603
CCTV-16奥林匹克,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226100
CCTV-5体育,http://117.144.58.42:35455/itv/1000000005000025222.m3u8?cdn=ystenlive&Contentid=1000000005000025222
CCTV-5+体育赛事,http://117.144.58.42:35455/itv/1000000005000265016.m3u8?cdn=ystenlive&Contentid=1000000005000265016
CCTV-16奥林匹克,http://117.144.58.42:35455/itv/1000000006000233002.m3u8?cdn=ystenlive&Contentid=1000000006000233002
緯來體育,rtmp://f13h.mine.nu/sat/tv721
安徽综艺体育,http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8
五星体育,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000010000017540
魅力足球,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031207
劲爆体育,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000002000029972
Dubai Sports 2,http://dmitwlvvll.cdn.mangomolo.com/dubaisportshd/smil:dubaisportshd.smil/chunklist_b1600000.m3u8
Dubai Sports 3,http://dmitwlvvll.cdn.mangomolo.com/dubaisportshd5/smil:dubaisportshd5.smil/chunklist_b1600000.m3u8
MBC体育,http://211.33.246.4:32954/cj_live/myStream.sdp/chunklist_w517347500.m3u8
