🇨🇳｜电视家源,#genre#
CCTV2财经,http://106.115.24.56:34567/gptv/G_CCTV-2-HQ.m3u8
CCTV3综艺,http://106.115.24.56:34567/gptv/G_CCTV-3-HQ.m3u8
CCTV4中文国际,http://106.115.24.56:34567/gptv/G_CCTV-4-HQ.m3u8
CCTV5体育,http://106.115.24.56:34567/gptv/G_CCTV-5-HQ.m3u8
CCTV5+体育赛事,http://106.115.24.56:34567/gptv/G_CCTV-5PLUS-HQ.m3u8
CCTV6电影,http://106.115.24.56:34567/gptv/G_CCTV-6-HQ.m3u8
CCTV7国防军事,http://106.115.24.56:34567/gptv/G_CCTV-7-HQ.m3u8
CCTV8电视剧,http://106.115.24.56:34567/gptv/G_CCTV-8-HQ.m3u8
CCTV9纪录片,http://106.115.24.56:34567/gptv/G_CCTV-9-HQ.m3u8
CCTV10科教,http://106.115.24.56:34567/gptv/G_CCTV-10-HQ.m3u8
CCTV11戏曲, http://106.115.24.56:34567/gptv/G_CCTV-11-HQ.m3u8
CCTV12社会与法,http://106.115.24.56:34567/gptv/G_CCTV-12-HQ.m3u8
CCTV13新闻,http://106.115.24.56:34567/gptv/G_CCTV-13-HQ.m3u8
CCTV14少儿,http://106.115.24.56:34567/gptv/G_CCTV-14-HQ.m3u8
CCTV15音乐,http://106.115.24.56:34567/gptv/G_CCTV-15-HQ.m3u8
CCTV16奥林匹克,http://106.115.24.56:34567/gptv/G_CCTV-16-HQ.m3u8
CCTV17农业农村,http://106.115.24.56:34567/gptv/G_CCTV-17-HQ.m3u8
CGTN,http://106.115.24.56:34567/gptv/G_CCTV-NEWS.m3u8
CCTV1综合,http://106.115.24.56:34567/bst/cctv1hd@4000000.m3u8
CCTV2财经,http://106.115.24.56:34567/bst/cctv2hd8m@8000000.m3u8
CCTV3综艺,http://106.115.24.56:34567/bst/cctv3hd@4000000.m3u8
CCTV4中文国际,http://106.115.24.56:34567/bst/cctv4hd4m@4000000.m3u8
CCTV5体育,http://106.115.24.56:34567/bst/cctv5hd@4000000.m3u8
CCTV5+体育赛事,http://106.115.24.56:34567/bst/cctv5phd@4000000.m3u8
CCTV6电影,http://106.115.24.56:34567/bst/cctv6hd@4000000.m3u8
CCTV7国防军事,http://106.115.24.56:34567/bst/cctv7hd4m@4000000.m3u8
CCTV8电视剧,http://106.115.24.56:34567/bst/cctv8hd@4000000.m3u8
CCTV9纪录片,http://106.115.24.56:34567/bst/cctv9hd4mc@4000000.m3u8
CCTV10科教,http://106.115.24.56:34567/bst/cctv10hd@4000000.m3u8
CCTV11戏曲,,http://106.115.24.56:34567/bst/cctv11hd4m@4000000.m3u8
CCTV12社会与法,http://106.115.24.56:34567/bst/cctv12hd4m@4000000.m3u8
CCTV13新闻,http://106.115.24.56:34567/bst/cctv13hd4m@4000000.m3u8
CCTV14少儿,http://106.115.24.56:34567/bst/cctvsehd@4000000.m3u8
CCTV15音乐,http://106.115.24.56:34567/bst/cctvyyhd4m@4000000.m3u8
CCTV16奥林匹克,http://106.115.24.56:34567/bst/cctv16hd4m@4000000.m3u8
CCTV17农业农村,http://106.115.24.56:34567/bst/cctv17hd4m@4000000.m3u8
CCTV3综艺,http://106.115.24.56:34567/bst/cctv3hdhai@4000000.m3u8
CCTV5体育,http://106.115.24.56:34567/bst/cctv5hdhai@4000000.m3u8
CCTV6电影,http://106.115.24.56:34567/bst/cctv6@1300000.m3u8
CCTV8电视剧,http://106.115.24.56:34567/bst/cctv8@1300000.m3u8
CGTN,http://106.115.24.56:34567/bst/cctvnews@2500000.m3u8


🇨🇳｜卫视频道,#genre#
湖南卫视,https://migu.188766.xyz/?migutoken=9463b4035ed14864cea15e25b58303b7&id=%E6%B9%96%E5%8D%97%E5%8D%AB%E8%A7%86&pp=1
浙江卫视,https://migu.188766.xyz/?migutoken=266de8401a76d8661e880920daea9aa1&id=%E6%B5%99%E6%B1%9F%E5%8D%AB%E8%A7%86&pp=1
江苏卫视,https://migu.188766.xyz/?migutoken=275863a66bd11b7d73c117ade82d84e7&id=%E6%B1%9F%E8%8B%8F%E5%8D%AB%E8%A7%86&type=yy
东方卫视,https://migu.188766.xyz/?migutoken=d699163f4ec03901fbc96cebdb1c6069&id=%E4%B8%9C%E6%96%B9%E5%8D%AB%E8%A7%86&pp=1
北京卫视,https://migu.188766.xyz/?migutoken=e85c994eaeae7b3a8fec3d2576692cdd&id=%E5%8C%97%E4%BA%AC%E5%8D%AB%E8%A7%86&pp=1
深圳卫视,https://migu.188766.xyz/?migutoken=2e9958cdafa7f90371e544f5f37b69b8&id=%E6%B7%B1%E5%9C%B3%E5%8D%AB%E8%A7%86&pp=1
广东卫视,https://migu.188766.xyz/?migutoken=6ffad26c75a452732a5652d01f1caf19&id=%E5%B9%BF%E4%B8%9C%E5%8D%AB%E8%A7%86&pp=1
东南卫视,https://migu.188766.xyz/?migutoken=ab6facfd4dcae81f4c49db2d527425da&id=dnws&type=dy
东南卫视,https://migu.188766.xyz/?migutoken=e25649690c57dfc25f1f17180f1229a0&id=dnws&type=sz
山东卫视,https://migu.188766.xyz/?migutoken=71503214cdee321ba108f0f5228b1a5b&id=sdws&type=dy
山东卫视,https://migu.188766.xyz/?migutoken=f38d2db3dccfc2867f54f872a4911b83&id=sdws&type=sz
安徽卫视,https://migu.188766.xyz/?migutoken=3139cd826f621415736b23843a5ae8a5&id=ahws&type=dy
安徽卫视,https://migu.188766.xyz/?migutoken=48348a9085f02b7b2e2e6b9d8f95d07a&id=ahws&type=sz
天津卫视,https://migu.188766.xyz/?migutoken=1b27f2337a373cfab06cd4b34a082b10&id=tjws&type=dy
天津卫视,https://migu.188766.xyz/?migutoken=39b6209695dd860eda077c7a900e8142&id=tjws&type=sz
湖北卫视,https://migu.188766.xyz/?migutoken=d7a7b78b1c4a1471d2a36286188ee82f&id=%E6%B9%96%E5%8C%97%E5%8D%AB%E8%A7%86&pp=1
辽宁卫视,https://migu.188766.xyz/?migutoken=966082bed786a70e4d953741fbe0b6b2&id=lnws&type=dy
辽宁卫视,https://migu.188766.xyz/?migutoken=5cf3c56cac8a635e0c3eb4590789fd74&id=lnws&type=sz
江西卫视,https://migu.188766.xyz/?migutoken=08351da1c8f3cfb66919981c3cd97614&id=%E6%B1%9F%E8%A5%BF%E5%8D%AB%E8%A7%86&pp=1
河北卫视,https://migu.188766.xyz/?migutoken=3fa6bb0475b9eecc7780dbe393641aca&id=hebeiws&type=dy
河北卫视,https://migu.188766.xyz/?migutoken=fd6eacdb3e90b5f8bd9ecde7c2184824&id=hbws&type=sz
黑龙江卫视,https://migu.188766.xyz/?migutoken=15af4339afcbf066b634506f2e772cef&id=hljws&type=dy
黑龙江卫视,https://migu.188766.xyz/?migutoken=89403eb71e8a22ead0eaa63c45c2adbc&id=hljws&type=sz
重庆卫视,https://migu.188766.xyz/?migutoken=08d67d2f65ff56d5ff850e75a248ebb8&id=cqws&type=dy
重庆卫视,https://migu.188766.xyz/?migutoken=9cf0b2a638d8a28f6e238094daed4ddc&id=cqws&type=sz
贵州卫视,https://migu.188766.xyz/?migutoken=430323917d4553aef0dc5a1b064878fd&id=gzws&type=dy
贵州卫视,https://migu.188766.xyz/?migutoken=fbfd2d266fe5089a1967481e653dabeb&id=gzws&type=sz
吉林卫视,https://migu.188766.xyz/?migutoken=a3199e20fec041cdfbdfac1ae00bc41a&id=jlws&type=dy
吉林卫视,https://migu.188766.xyz/?migutoken=f5089981b5d94b1261c56c219b53d6e2&id=jlws&type=sz
四川卫视,https://migu.188766.xyz/?migutoken=59fd8064dc34ca45f34f6b073968632e&id=scws&type=dy
四川卫视,https://migu.188766.xyz/?migutoken=96ec917ad30ee731d3b30793aaf4255d&id=scws&type=sz
海南卫视,https://migu.188766.xyz/?migutoken=78f59ad87a9929ccc51e6386f8ef35b2&id=custom1&type=dy
海南卫视,https://migu.188766.xyz/?migutoken=cd4f65bbb478b66a78022c76eb6678d8&id=hinws&type=sz
河南卫视,https://migu.188766.xyz/?migutoken=a92b1063f4d74147395e1a0cbd58c54d&id=%E6%B2%B3%E5%8D%97%E5%8D%AB%E8%A7%86&type=yy
广西卫视,https://migu.188766.xyz/?migutoken=f4e8ea556d9a9e3d87abdce7eea12d06&id=gxws&type=dy
广西卫视,https://migu.188766.xyz/?migutoken=f7a7f0852d5c19166f53d765bff59f32&id=gxws&type=sz
山西卫视,https://migu.188766.xyz/?migutoken=19cf8e19cbb879eb36569f14c4e083ed&id=sxws&type=dy
山西卫视,https://migu.188766.xyz/?migutoken=f64d72352229d221ec4945f686bf58a9&id=sxws&type=sz
云南卫视,https://migu.188766.xyz/?migutoken=778905a7dd035863ea96702227c20666&id=ynws&type=dy
云南卫视,https://migu.188766.xyz/?migutoken=d11fc664dc1aba546f3d478e8497c722&id=ynws&type=sz
陕西卫视,https://migu.188766.xyz/?migutoken=ff08f540768602d22285569282d28001&id=%E9%99%95%E8%A5%BF%E5%8D%AB%E8%A7%86&pp=1
内蒙古卫视,https://migu.188766.xyz/?migutoken=d078fa00770c39308773ef42aa9236d6&id=%E5%86%85%E8%92%99%E5%8F%A4%E5%8D%AB%E8%A7%86&pp=1
甘肃卫视,https://migu.188766.xyz/?migutoken=eb9e67e66ac34e91943e68288614b084&id=gsws&type=dy
甘肃卫视,https://migu.188766.xyz/?migutoken=42dad8a25cb0ddcfaacc3430727a344a&id=gsws&type=sz
宁夏卫视,https://migu.188766.xyz/?migutoken=ad6666f2feb8234425618386e75b10db&id=nxws&type=dy
宁夏卫视,https://migu.188766.xyz/?migutoken=be89a5ea37341a41f8a2927c467670b8&id=nxws&type=sz
青海卫视,https://migu.188766.xyz/?migutoken=3ce29aad9c5efccf82422c5318ff3ac0&id=qhws&type=dy
青海卫视,https://migu.188766.xyz/?migutoken=5a3a246a3ed5fe507c2c07a4201cc259&id=qhws&type=sz
新疆卫视,https://migu.188766.xyz/?migutoken=0215839e1a47c8e7af970dffb6d05b71&id=%E6%96%B0%E7%96%86%E5%8D%AB%E8%A7%86&pp=1
西藏卫视,https://migu.188766.xyz/?migutoken=f924b9cb161480157c02687d96e4150b&id=%E8%A5%BF%E8%97%8F%E5%8D%AB%E8%A7%86&pp=1
兵团卫视,http://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
海峡卫视,https://migu.188766.xyz/?migutoken=6e00ed3925bb5a87abe5a9c7eaeae6ca&id=%E6%B5%B7%E5%B3%A1%E5%8D%AB%E8%A7%86&type=yy
大湾区卫视,https://migu.188766.xyz/?migutoken=b04a6524ff3b75f8aa19cb4491827af2&id=%E5%A4%A7%E6%B9%BE%E5%8C%BA%E5%8D%AB%E8%A7%86&type=yy
香港卫视,https://migu.188766.xyz/?migutoken=7918e4bbb7a427751152044826f3d443&id=%E9%A6%99%E6%B8%AF%E5%8D%AB%E8%A7%86&pp=1
北京卫视4K,https://migu.188766.xyz/?migutoken=e85c994eaeae7b3a8fec3d2576692cdd&id=%E5%8C%97%E4%BA%AC%E5%8D%AB%E8%A7%86&pp=1
深圳卫视4K,https://migu.188766.xyz/?migutoken=2e9958cdafa7f90371e544f5f37b69b8&id=%E6%B7%B1%E5%9C%B3%E5%8D%AB%E8%A7%86&pp=1
广东卫视4K,http://ikuai.haleeyo.cn:9003/udp/239.77.0.27:5146
广东卫视4K,http://vvip.lqcc.xyz:8092/stream/channelid/1248069700?auth=PrI5LXwb51dYilt30TvNYVVAgd4A&profile=pass
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
凤凰中文,https://migu.188766.xyz/?migutoken=1fab15f194f5c483bd53222fa1b55b95&id=fhzw&pp=1
凤凰资讯,https://migu.188766.xyz/?migutoken=39350893b9c378e35d74677dda43c17e&id=fhzx&pp=1
凤凰香港,https://migu.188766.xyz/?migutoken=0f2c947a9a2f1d230d8c7ff0a373cd57&id=fhhk&pp=1
翡翠台,https://migu.188766.xyz/?migutoken=8b3a215a35aa3d7558cf0414c1fdf05e&id=fct&type=dy
翡翠台,https://migu.188766.xyz/?migutoken=8ed6fa8e4ccc4adf9070b1164222efb9&id=%E7%BF%A1%E7%BF%A0%E5%8F%B0&pp=1
明珠台,https://migu.188766.xyz/?migutoken=ac73824c8e201694af298a305f162bb8&id=mzt&type=dy
无线新闻,https://migu.188766.xyz/?migutoken=f14f1c57de73741a2867632c2f9cdeab&id=wxxw&type=dy
HOY77,https://migu.188766.xyz/?migutoken=5d4c1d3330a681f8c9061fb7e661f14e&id=hoy&type=dy
八度空间,https://migu.188766.xyz/?migutoken=9aa0e708d0c2da07b3c8d691dad22ab6&id=8tv&type=dy
CH8,https://migu.188766.xyz/?migutoken=328465ff0a75c1c35cc5e995e8915da6&id=ch8&type=dy

CHC家庭影院,https://migu.188766.xyz/?migutoken=86baf869fb6459df7518f8c8b23cc9c4&id=CHC%E5%AE%B6%E5%BA%AD%E5%BD%B1%E9%99%A2&pp=1
CHC动作电影,https://migu.188766.xyz/?migutoken=eaeb4b31503f246f93fad59ad59dfa1a&id=CHC%E5%8A%A8%E4%BD%9C%E7%94%B5%E5%BD%B1&pp=1
CHC影迷电影,https://migu.188766.xyz/?migutoken=0efd82a05469670ef38aefd12d5451bc&id=CHC%E5%BD%B1%E8%BF%B7%E7%94%B5%E5%BD%B1&pp=1

广东卫视,http://106.115.24.56:34567/gptv/G_GUANGDONG-HQ.m3u8
江苏卫视,http://106.115.24.56:34567/gptv/G_JIANGSU-HQ.m3u8
浙江卫视,http://106.115.24.56:34567/gptv/G_ZHEJIANG-HQ.m3u8
湖南卫视,http://106.115.24.56:34567/gptv/G_HUNAN-HQ.m3u8
东方卫视,http://106.115.24.56:34567/gptv/G_DONGFANG-HQ.m3u8
北京卫视,http://106.115.24.56:34567/gptv/G_BEIJING-HQ.m3u8
深圳卫视,http://106.115.24.56:34567/gptv/G_SHENZHEN-HQ.m3u8
辽宁卫视,http://106.115.24.56:34567/gptv/G_LIAONING-HQ.m3u8
安徽卫视,http://106.115.24.56:34567/gptv/G_ANHUI-HQ.m3u8
山东卫视,http://106.115.24.56:34567/gptv/G_SHANDONG-HQ.m3u8
黑龙江卫视,http://106.115.24.56:34567/gptv/G_HEILONGJIANG-HQ.m3u8
天津卫视,http://106.115.24.56:34567/gptv/G_TIANJIN-HQ.m3u8
广西卫视,http://106.115.24.56:34567/gptv/G_GUANGXI-HQ.m3u8
东南卫视,http://106.115.24.56:34567/gptv/G_DONGNAN-HQ.m3u8
甘肃卫视,http://106.115.24.56:34567/gptv/G_GANSU-HQ.m3u8
贵州卫视,http://106.115.24.56:34567/gptv/G_GUIZHOU-HQ.m3u8
海南卫视,http://106.115.24.56:34567/gptv/G_HAINAN-HQ.m3u8
河北卫视,http://106.115.24.56:34567/gptv/G_HEBEI-HQ.m3u8
河南卫视,http://106.115.24.56:34567/gptv/G_HENAN-HQ.m3u8
湖北卫视,http://106.115.24.56:34567/gptv/G_HUBEI-HQ.m3u8
吉林卫视,http://106.115.24.56:34567/gptv/G_JILIN-HQ.m3u8
江西卫视,http://106.115.24.56:34567/gptv/G_JIANGXI-HQ.m3u8
康巴卫视,http://106.115.24.56:34567/gptv/G_KANGBA.m3u8
安多卫视,http://106.115.24.56:34567/gptv/G_ANDUO.m3u8
兵团卫视,http://106.115.24.56:34567/gptv/G_BINGTUAN.m3u8
内蒙古卫视,http://106.115.24.56:34567/gptv/G_NEIMENGGU.m3u8
宁夏卫视,http://106.115.24.56:34567/gptv/G_NINGXIA.m3u8
农林卫视,http://106.115.24.56:34567/gptv/G_NONGLIN.m3u8
三沙卫视,http://106.115.24.56:34567/gptv/G_SANSHA-HQ.m3u8
陕西卫视,http://106.115.24.56:34567/gptv/G_SHANXI-HQ.m3u8
四川卫视,http://106.115.24.56:34567/gptv/G_SICHUAN-HQ.m3u8
西藏卫视,http://106.115.24.56:34567/gptv/G_XIZANG.m3u8
新疆卫视,http://106.115.24.56:34567/gptv/G_XINJIANG.m3u8
延边卫视,http://106.115.24.56:34567/gptv/G_YANBIAN.m3u8
云南卫视,http://106.115.24.56:34567/gptv/G_YUNNAN-HQ.m3u8
重庆卫视,http://106.115.24.56:34567/gptv/G_CHONGQING-HQ.m3u8

东方卫视,http://106.115.24.56:34567/bst/hddfws@4000000.m3u8
河北卫视,http://106.115.24.56:34567/bst/hbwshd4m@4000000.m3u8
浙江卫视,http://106.115.24.56:34567/bst/zjwshd@4000000.m3u8
北京卫视,http://106.115.24.56:34567/bst/bjwshd@4000000.m3u8
江苏卫视,http://106.115.24.56:34567/bst/jswshd@4000000.m3u8
天津卫视,http://106.115.24.56:34567/bst/tjwshd@4000000.m3u8
湖南卫视,http://106.115.24.56:34567/bst/hnwshd@4000000.m3u8
中国教育1,http://106.115.24.56:34567/bst/zgjy1ott@4000000.m3u8
中国教育2,http://106.115.24.56:34567/bst/cetv2@2500000.m3u8
中国教育4,http://106.115.24.56:34567/bst/cetv4@1300000.m3u8
山东卫视,http://106.115.24.56:34567/bst/sdwshd@4000000.m3u8
东南卫视,http://106.115.24.56:34567/bst/dnwshd@4000000.m3u8
安徽卫视,http://106.115.24.56:34567/bst/ahwshd@4000000.m3u8
湖北卫视,http://106.115.24.56:34567/bst/hbwshd@4000000.m3u8
甘肃卫视,http://106.115.24.56:34567/bst/gswshd4m@4000000.m3u8
广东卫视,http://106.115.24.56:34567/bst/gdwshd@4000000.m3u8
广西卫视,http://106.115.24.56:34567/bst/gxwshd4m@4000000.m3u8
贵州卫视,http://106.115.24.56:34567/bst/gzwshd4m@4000000.m3u8
重庆卫视,http://106.115.24.56:34567/bst/cqwshd4m@4000000.m3u8
河南卫视,http://106.115.24.56:34567/bst/henwshd4m@4000000.m3u8
黑龙江卫视,http://106.115.24.56:34567/bst/hljwshd@4000000.m3u8
海南卫视,http://106.115.24.56:34567/bst/hainwshd4m@4000000.m3u8
吉林卫视,http://106.115.24.56:34567/bst/jlwshd4m@4000000.m3u8
江西卫视,http://106.115.24.56:34567/bst/jxwshd@4000000.m3u8
辽宁卫视,http://106.115.24.56:34567/bst/lnwshd@4000000.m3u8
深圳卫视,http://106.115.24.56:34567/bst/szwshd@4000000.m3u8
云南卫视,http://106.115.24.56:34567/bst/ynwshd4m@4000000.m3u8
四川卫视,http://106.115.24.56:34567/bst/scwshd4m@4000000.m3u8
山西卫视,http://106.115.24.56:34567/bst/shanxiws@1300000.m3u8
陕西卫视,http://106.115.24.56:34567/bst/sxws@1300000.m3u8
新疆卫视,http://106.115.24.56:34567/bst/xjws@1300000.m3u8
安多卫视,http://106.115.24.56:34567/bst/adws2d5m@2500000.m3u8
西藏卫视,http://106.115.24.56:34567/bst/xzws@2500000.m3u8
兵团卫视,http://106.115.24.56:34567/bst/btws@1300000.m3u8
内蒙古卫视,http://106.115.24.56:34567/bst/nmgws@1300000.m3u8
宁夏卫视,http://106.115.24.56:34567/bst/nxws@1300000.m3u8
青海卫视,http://106.115.24.56:34567/bst/qhws@1300000.m3u8



🇨🇳｜历年春晚,#genre#	
春晚1983,https://vd2.bdstatic.com/mda-nmgf0aiczefpbjyv/360p/h264/1671273368681637465/mda-nmgf0aiczefpbjyv.mp4	
春晚1984,http://txmov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5NTRfNDAzMDAxOTlfNjYyNzMyMzg3MTRfMF8z_b_B192356dadbc90d207ba16964d4c2914c.mp4
春晚1985,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDFfNDAzMDAxOTlfNjYyNzMyNTAwMzJfMF8z_b_Be73c5abcbc0eeb2ec9fce6842e1362a4.mp4
春晚1986,https://txmov2.a.kwimgs.com/bs3/video-hls/5231493982164619599_hlshd15.m3u8
春晚1987,https://txmov2.a.kwimgs.com/bs3/video-hls/5195746663405928031_hlsb.m3u8
春晚1988,https://txmov2.a.kwimgs.com/bs3/video-hls/5216575810935394655_hlsb.m3u8
春晚1989,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTVfNDAzMDAxOTlfNjYyNzMyNzQ2OTlfMF8z_b_Be477b27b9ce655d2372df56a5a3d96ef.mp4
春晚1991,https://txmov2.a.kwimgs.com/bs3/video-hls/5210664837540712798_hlshd15.m3u8
春晚1992,https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8
春晚1993,https://txmov2.a.kwimgs.com/bs3/video-hls/5217420261875933947_hlshd15.m3u8
春晚1994,https://txmov2.a.kwimgs.com/bs3/video-hls/5197154061406974711_hlshd15.m3u8
春晚1995,https://txmov2.a.kwimgs.com/bs3/video-hls/5255137907893179578_hlshd15.m3u8
春晚1998,https://txmov2.a.kwimgs.com/bs3/video-hls/5225864507896315430_hlshd15.m3u8
春晚1999,https://txmov2.a.kwimgs.com/bs3/video-hls/5258234133675308186_hlshd15.m3u8
春晚2009,https://txmov2.a.kwimgs.com/bs3/video-hls/5210946337266019890_hlshd15.m3u8
春晚2019,https://txmov2.a.kwimgs.com/bs3/video-hls/5222205336887088723_hlshd15.m3u8
春晚2020,https://txmov2.a.kwimgs.com/bs3/video-hls/5248101009010430183_hlshd15.m3u8
春晚2020,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzA5NDdfNDAzMDAxOTlfNjYxNzQ2MDAyMTFfMF8z_b_B5d51d9564c5670dc66faeba20aa7af3f.mp4
春晚2021,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzE4NTJfNDAzMDAxOTlfNjYxNzUzOTg3NjlfMF8z_b_Be41d9503181d7b0608a839ed401e02c2.mp4
春晚2022,http://txmov2.a.kwimgs.com/upic/2022/02/01/11/BMjAyMjAyMDExMTEwMjNfNDAzMDAxOTlfNjYzNzA4MTk4NzNfMF8z_b_B898cc7ddd0025bf54ddb18ec1f723c84.mp4
春晚2023,https://txmov2.a.kwimgs.com/bs3/video-hls/5251197255879398624_hlshd15.m3u8 
春晚2024,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8 
春晚2024,https://ikcdn01.ikzybf.com/20240205/QBNgom4j/2000kb/hls/index.m3u8	
春晚2025,https://res.cctvnews.cctv.com/video/3005/record/cctv/merge1/133396667284143308839013005/8fbd6180bdef4da19f6155cf6b4652e1-4.m3u8
👶少儿频道,#genre#
倒霉特熊,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/87f87ba569c147e3805f80e4844d2de9/1200.m3u8
雲朵妈妈,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/d8ad434c6b08421a927557a4d98da65c/1200.m3u8
反转星球,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/3ccdecc7d6e341c1920ad4eac5d82f38/1200.m3u8
熊大熊二,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/1733da751de64e6e910abda889d87a26/1200.m3u8
狮子王國,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/c2e7e767f3144bed959ef20b8b961fe5/850.m3u8
棉花糖和云朵妈妈,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/d8ad434c6b08421a927557a4d98da65c/1200.m3u8
熊出没•变形记,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/1733da751de64e6e910abda889d87a26/1200.m3u8
猪猪侠•英雄猪少年,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/0f03b08bc7b042358144617000fd2931/1200.m3u8
大卫贝肯•倒霉特工熊,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/87f87ba569c147e3805f80e4844d2de9/1200.m3u8
