📺YouTube 新聞,#genre#
台視,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv066
中視,http://37.27.111.214:8080/live/7/hls.m3u8
中視,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv040
華視,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv041
民視,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv002
民視,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv155
TVBS,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv073

國會頻道1,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv084
國會頻道2,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv085
第1商業台,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv109
唯心電視台,https://5ddce30eb4b55.streamlock.net/wxtv/wxtvnow.stream/playlist.m3u8&data=normal
新唐人,http://www.youtube.com/watch?v=WIhgU_mc05A
澳洲ABCNews,http://www.youtube.com/watch?v=vOTiJkg1voo
ABC News,http://www.youtube.com/live/-mvUkiILTqI
CCTV中文國際,http://www.youtube.com/watch?v=bEZYrBMYNNg
CNN News,http://www.youtube.com/watch?v=78UnBnAidZ0-
DW,http://www.youtube.com/watch?v=pqabxBKzZ6M
DW德國之聲,https://youtu.be/tZT2MCYu6Zw
Euronews English,http://www.youtube.com/live/pykpO5kQJ98
Euronews English,http://www.youtube.com/watch?v=pykpO5kQJ98
Fox new,http://www.youtube.com/watch?v=YDfiTGGPYCk
FRANCE 24,http://www.youtube.com/watch?v=h3MuIUNCCzI
HTB北海道,http://www.youtube.com/live/d8CrKBU99Hg
KBS KOREA,http://www.youtube.com/watch?v=HnfpTMtfFk8
KOMPASTV,http://www.youtube.com/watch?v=4rmf-lk3ito
mnews鏡新聞,http://www.youtube.com/live/5n0y6b0Q25o
NASA Live,http://www.youtube.com/live/nA9UZF-SZoQ
Nat geo wild,http://www.youtube.com/watch?v=BJ3Yv572V1A
NBC NEW,http://www.youtube.com/watch?v=7-JR7DjKF_c
NHK WORLD,http://www.youtube.com/watch?v=f0lYkdA-Gtw
Sky News,http://www.youtube.com/watch?v=w9uJg68CV4g
TVBS HD,https://m.youtube.com/watch?v=YvdcZ_jpLXE
TVBS HD,https://clonglii.serv00.net/youtube_d.php?id=YvdcZ_jpLXE&data=normal
TVBS HD,https://clonglii.serv00.net/youtube_d.php?id=YvdcZ_jpLXE&ln=2&data=normal
CBS哥倫比亞廣播系統新聞(CBS),https://cbsn-us.cbsnstream.cbsnews.com/out/v1/55a8648e8f134e82a470f83d562deeca/master.m3u8&data=normal
CNN有線電視新聞網(CNN),https://d3696l48vwq25d.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-0g2918mubifjw/index.m3u8&data=normal
CNN有線電視新聞網(CNN),https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8&data=normal
CNN有線電視新聞網(CNN),https://cnn-cnninternational-1-eu.rakuten.wurl.tv/playlist.m3u8&data=normal
福斯直播(美國偏保守派)(LiveNOW from FOX),https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8&data=normal
彭博財經電視(美國財經)(Bloomberg Television),https://0984ed0046994029aafaa07692005474.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/Samsung_Bloomberg/playlist.m3u8&data=normal
RT俄羅斯今日電視台(俄羅斯)(RT News),https://rt-glb.rttv.com/dvr/rtnews/playlist.m3u8&data=normal
BBC英國廣播公司新聞(英國)(BBC News),https://d1kvlt93j1bc49.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-6vpx7bvwjm7ao/v1/amcnetworks_bbcnews_1/samsungheadend_us/latest/main/hls/playlist.m3u8&data=normal
BBC英國廣播公司新聞(英國)(BBC News),https://i.mjh.nz/SamsungTVPlus/US4000033L.m3u8&data=normal
亞洲新聞(新加坡)(CNA),https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8&data=normal
日本廣播協會(日本)(NHK World)(各地字幕),https://cdn.nhkworld.jp/www11/nhkworld-tv/bmcc-live/zt/playlist-back.m3u8&data=normal
鳳凰資訊,http://www.youtube.com/watch?v=sUISafvOieY
TVBS56,http://www.youtube.com/watch?v=YvdcZ_jpLXE
東森Live,http://www.youtube.com/watch?v=S5WOGu2HSes


🏘️2/24換新站！舊址不再跟新！Rob Yang就是我 http://RobYang.ggff.net,#genre#
至少"設定"->"點播"輸入http://RobYang.ggff.net 一次，這樣可以跟新所有線源2,http://a.d2
至少"設定"->"點播"輸入http://RobYang.us.kg 一次，這樣可以跟新所有線源1,http://a.d1
至少"設定"->"點播"輸入http://RobYang.rr.nu 一次，這樣可以跟新所有線源3,http://a.d2
👇👇更多直播，點播，如安博👇👇直播=http://RobYang.ggff.net,http://www.youtube.com/watch?v=ylYJSBUgaMA
👉http://RobYang.ggff.net👈,http://www.youtube.com/watch?v=xxx
有事嗎？我們不熟,http://www.youtube.com/watch?v=yyyy
此僅限技術發展研究實驗使用,http://a.b
其他用途皆爲非法行為,http://a.c
任何責任自行負責,http://a.d


📺YouTube 兒童,#genre#

東森幼幼,https://youtu.be/4O8xAZ5VUGY
東森幼幼,https://www.youtube.com/watch?v=4O8xAZ5VUGY
MOMO親子,https://youtu.be/oLdxAo_dez0
MOMO親子,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/4gtv/231
MOMO親子成語,https://youtu.be/OrX2QQtMkkY
迪士尼最佳歌曲2023,https://youtu.be/dpIbmKroTgA?si=YILikSplg7x284_Y


📺YouTube 其他,#genre#
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
亞洲旅遊台,http://37.27.111.214:8080/live/10/hls.m3u8
探索亞洲,http://61.221.215.25:8800/hls/50/index.m3u8
民視戲劇,http://www.youtube.com/live/6CQZxYpW9q4
華視綜藝頻道,http://m.youtube.com/live/IfKO17h4pVE
華視戲劇頻道,http://m.youtube.com/live/WFXI3igmwDk
中視亞洲台,http://www.youtube.com/live/s2waUruqze4
中視綜藝,http://www.youtube.com/live/ADDSmXoPDY8
台視,https://m.youtube.com/watch?v=uDqQo8a7Xmk
大愛一台,http://www.youtube.com/watch?v=MIqUplvSRWA
大愛一台,https://m.youtube.com/watch?v=MIqUplvSRWA
大愛一台,https://m.youtube.com/watch?v=oV_i3Hsl_zg
大愛二台台灣,http://www.youtube.com/watch?v=OKvWtVoDR8I
大愛二台全球,http://www.youtube.com/watch?v=DTNkEm6jaqQ
信大電視台,http://www.youtube.com/live/ciwFpYofb28
國會頻道,http://www.youtube.com/live/4HysYHJ6GkY
momo購物一台,http://www.youtube.com/watch?v=_pZQ1Lk0xMA
momo購物二台,http://www.youtube.com/watch?v=xbNWkUyxQGM
東森購物台CH34,http://www.youtube.com/watch?v=ViJ3XiN6Q3M
美好購物二台,http://www.youtube.com/watch?v=lEXITHxcagI
好消息,https://live.streamingfast.net/osmflivech1.m3u8&data=normal$decoder=2
大愛二台,https://m.youtube.com/watch?v=DTNkEm6jaqQ
大愛二台,https://m.youtube.com/watch?v=OKvWtVoDR8I
華藏,http://www.youtube.com/watch?v=ypmrwYeLAaQ
希望電視台,https://videodelivery.net/f9fac529ef8cc8f8dc702ac06116ad1b/manifest/video.m3u8&data=normal
東京新宿,http://www.youtube.com/watch?v=DjdUEyjx8GM
正德電視台,http://www.youtube.com/watch?v=AfcVHGIRbP8
淨空老法師直播台,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8&data=normal
港台電視33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8&data=normal
港台電視34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8&data=normal
港台電視35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8&data=normal
CBTV十方法界弘法電視台,https://m.youtube.com/watch?v=77SHFx1c8Lk
生命電視台,http://211.73.19.201/live/AB167E56-808C-81D4-6471-76DC400D5192.m3u8?fmt=x264_1200K_ts&cpid=admin&size=1920X1080&data=normal
香港佛陀教育協會,https://i.cibei.org/live/hd/playlist.m3u8&data=normal
香港佛陀教育協會,https://live.jingzong.org/live/hd/playlist.m3u8&data=normal
鳳凰衛視資訊,http://www.youtube.com/watch?v=HFib76ySpbU
民視,http://37.27.111.214:8080/live/6/hls.m3u8
民視,http://wanzhoulive.cbg.cn:8017/c2F0hmi/1000/live.m3u8
台視台灣台,rtmp://f13h.mine.nu/sat/tv071
中視台灣台,rtmp://f13h.mine.nu/sat/tv091
華視台灣台,rtmp://f13h.mine.nu/sat/tv111
民视频道,rtmp://f13h.mine.nu/sat/tv051
緯來日本,rtmp://f13h.mine.nu/sat/tv771
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
緯來體育,rtmp://f13h.mine.nu/sat/tv721
东森超视,rtmp://f13h.mine.nu/sat/tv331
Mo综合,rtmp://f13h.mine.nu/sat/tv761
ELE体育1,rtmp://f13h.mine.nu/sat/tv731
ELE体育2,rtmp://f13h.mine.nu/sat/tv741
ELE体育3,rtmp://f13h.mine.nu/sat/tv751


📻電台,#genre#
CityFM台北健康FM 90.1,http://fm901.cityfm.tw:8080/901.mp3
CityFM大苗栗廣播FM 98.3,http://fm983.cityfm.tw:8080/983.mp3
CityFM城市廣播FM 92.9,http://fm929.cityfm.tw:8080/929.mp3
CityFM台南之音FM 97.1,http://fm971.cityfm.tw:8080/971.mp3
中廣音樂網,http://stream.rcs.revma.com/ks4vsmg3qtzuv
中廣新聞網,http://stream.rcs.revma.com/78fm9wyy2tzuv
中廣流行網,http://stream.rcs.revma.com/aw9uqyxy2tzuv
RTI中央廣播電台,https://streamak0138.akamaized.net/live0138lh-mbm9/_definst_/rti3/playlist.m3u8
RTI亞洲語言Live,https://streamak0138.akamaized.net/live0138lh-mbm9/_definst_/rti5/chunklist.m3u8
RTI閩客粵語和歐美外語Live,https://streamak0138.akamaized.net/live0138lh-mbm9/_definst_/rti6/playlist.m3u8
AsiaFM亞洲電台FM92.7,https://stream.rcs.revma.com/xpgtqc74hv8uv 
AsiaFM亞太電台FM92.3,https://stream.rcs.revma.com/kydend74hv8uv
FlyRadio飛揚調頻895,https://stream.rcs.revma.com/e0tdah74hv8uv
News98新聞,http://stream.rcs.revma.com/55tyxsy4qtzuv
ICRT,http://live.leanstream.co/ICRTFM-MP3
飛碟電台,http://stream.rcs.revma.com/em90w4aeewzuv
警廣之聲,http://play-radio-stream3.hndt.com/now/prIgXGFo/playlist.m3u8
全國治安交通網,http://stream.pbs.gov.tw:1935/live/mp3:PBS/playlist.m3u8
員警廣播台北分台,http://stream.pbs.gov.tw:1935/live/TPS/playlist.m3u8 
員警廣播高雄分台,http://stream.pbs.gov.tw:1935/live/KSS/playlist.m3u8
員警廣播台中分台,http://stream.pbs.gov.tw:1935/live/TCS/playlist.m3u8
員警廣播台南分台,http://stream.pbs.gov.tw:1935/live/TNS/playlist.m3u8 
員警廣播台東分台,http://stream.pbs.gov.tw:1935/live/TTS/playlist.m3u8
員警廣播新竹分台,http://stream.pbs.gov.tw:1935/live/SCS/playlist.m3u8
員警廣播花蓮分台,http://stream.pbs.gov.tw:1935/live/HLS/playlist.m3u8 
員警廣播宜蘭分台,http://stream.pbs.gov.tw:1935/live/ELS/playlist.m3u8
台北廣播電台FM93.1,https://stream.ginnet.cloud/live0130lo-yfyo/_definst_/fm/playlist.m3u8
台北廣播電台AM1134,https://stream.ginnet.cloud/live0130lo-yfyo/_definst_/am/playlist.m3u8 
國立教育廣播電台台北總台FM台,https://cast.ner.gov.tw/1#http://wowza.ner.gov.tw/live/_definst_/1/playlist.m3u8
國立教育廣播電台台北總台AM台,https://cast.ner.gov.tw/2
台灣古典音樂台,http://59.120.88.155:8000/live.mp3
BravoFM台北都會音樂台,https://onair.bravo913.com.tw:9130/live.mp3
台中古典音樂台,https://onair.family977.com.tw:8977/live.mp3
佳音羅東宜蘭FM90.3,http://cdn51.ccdntech.com/live-http/_definst_/vod51_Live/ch02/playlist.m3u8
佳音經典音樂網,http://cdn51.ccdntech.com/live-http/_definst_/vod51_Live/ch03/playlist.m3u8
佳音現代音樂網,http://cdn51.ccdntech.com/live-http/_definst_/vod51_Live/ch04/playlist.m3u8
寶島聯播網|大千電台,http://125.227.87.206:8000/FM99.1
寶島聯播網|寶島新聲,http://125.227.87.206:8000/FM98.5
寶島聯播網|主人電台,http://125.227.87.206:8000/FM96.9
正義電台,http://211.20.119.103:8081
太陽電台,http://211.20.119.102:8081 
台中廣播電台,http://211.20.119.101:8081
台灣Lounge Radio音樂電台,http://streaming.radionomy.com/JamendoLounge
輕鬆電台FM 96.9,http://stream.rcs.revma.com/k41z6wadu5hvv
正聲綜合,http://flv.ccdntech.com/live/_definst_/mp4:vod117_Live/live2/playlist.m3u8
正聲FM104.1,http://flv.ccdntech.com/live/_definst_/mp4:vod117_Live/live1/playlist.m3u8
環宇廣播,http://stream.rcs.revma.com/srn5f9kmwxhvv
M-Radio全國廣播,http://stream.rcs.revma.com/044q61ha7a0uv/hls.m3u8


飛碟電台,https://yeslivetv.com/radio/uforadio/
中廣新聞網,https://yeslivetv.com/radio/bbc-news-radio/
中廣流行網 FM103,https://yeslivetv.com/radio/i-like-radio-fm103/
中廣音樂網 FM96,https://yeslivetv.com/radio/i-radio-fm96/
中廣鄉親網 COUNTRY,https://yeslivetv.com/radio/bbc-country/
中廣 I go AM531,https://yeslivetv.com/radio/i-go-am531/
亞洲電台 FM92.7,https://yeslivetv.com/radio/asia-fm927/
亞太電台 FM92.3,https://yeslivetv.com/radio/asia-fm923/
飛揚電台(飛揚調頻)FM89.5,https://yeslivetv.com/radio/asia-fm895/
愛樂電台 FM99.7,https://yeslivetv.com/radio/fm997/
國立教育廣播電台(台北總台FM台),https://yeslivetv.com/radio/ner-taipei-fm/
國立教育廣播電台(台北總台AM台),https://yeslivetv.com/radio/ner-taipei-am/
國立教育廣播電台(台中AM台),https://yeslivetv.com/radio/ner-taichung-am/
國立教育廣播電台(彰化分台FM),https://yeslivetv.com/radio/ner-changhua-fm/
國立教育廣播電台(高雄分台),https://yeslivetv.com/radio/ner-kaohsiung/
國立教育廣播電台(台東分台FM-1),https://yeslivetv.com/radio/ner-taitung-fm1029/
國立教育廣播電台(台東分台FM-2),https://yeslivetv.com/radio/ner-taitung-fm1005/
國立教育廣播電台(花蓮分台FM-1),https://yeslivetv.com/radio/ner-hualien-fm1/
國立教育廣播電台(花蓮分台FM-2),https://yeslivetv.com/radio/ner-hualien-fm2/
好事989電台,https://yeslivetv.com/radio/bestradio-fm989/
好事935電台,https://yeslivetv.com/radio/bestradio-fm935/
港都983電台,https://yeslivetv.com/radio/bestradio-fm983/
好事903電台,https://yeslivetv.com/radio/bestradio-fm903/
愛樂電台(On Air),https://yeslivetv.com/radio/e-classical-on-air/
愛樂電台(Jazz Online),https://yeslivetv.com/radio/e-classical-jazz-online/
愛樂電台(OBG Online),https://yeslivetv.com/radio/e-classical-obg-online/
愛樂電台(Kids Online),https://yeslivetv.com/radio/e-classical-kids-online/
愛樂電台(UR Classical),https://yeslivetv.com/radio/e-classical-ur-classical/










-------------10084---------10----False-----

---tfu----👉TUF | 台港國際


👉  TUF | 台港國際   👉,#genre#
民視,rtmp://f13h.mine.nu/sat/tv051
民視,rtmp://f13h.mine.nu:1935/sat/tv051
民視 HD,http://37.27.111.214:8080/live/6/hls.m3u8
民視新聞 HD,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
民視新聞,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8#https://epg.pw/stream/357581cc08ace7ef32a04c9c53578fe9906e137989e1f5e0355395f7a3ae8e37.m3u8#https://epg.pw/stream/75e14c76b6bf52ae5f96e83d07ea3b69008f6b017d18a395b6c6346ef60bcb27.m3u8#https://epg.pw/stream/0a9b2611d6fd15d90be0ec3144d0b783dd45a65ac7a15d2e85dd93860170b1af.m3u8#https://epg.pw/stream/c8bfbc31e5af4b4d07b7222dc9ac9315dd57fbd663daafea3ce611c5bc57cf83.m3u8#https://epg.pw/stream/b63bf1df7bf1e2c47a873d3987c2d59a08d8e4dfed1e197bce7e791eb64eb16e.m3u8#https://epg.pw/stream/6fa1566ea8689cbf43afb55f899dc5ee945e1caabde5bfc367cc510aa794d313.m3u8#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8#http://www.terrykang.xyz:35455/youtube/ylYJSBUgaMA#http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8#http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4012/playlist.m3u8#http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8#http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8#http://www.terrykang.xyz:35455/youtube/ylYJSBUgaMA#http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8#http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8#https://epg.pw/stream/1d469cbfb06b06cde4dc59c21272a4e6da364621e97513d03523c96d0c7afe1e.m3u8#https://epg.pw/stream/0a9b2611d6fd15d90be0ec3144d0b783dd45a65ac7a15d2e85dd93860170b1af.m3u8#https://epg.pw/stream/2d58d8f0a0cd55789fbbe7d305795dea3656816d9afa0bd3baabc067e54b218c.m3u8#https://epg.pw/stream/c8bfbc31e5af4b4d07b7222dc9ac9315dd57fbd663daafea3ce611c5bc57cf83.m3u8#https://epg.pw/stream/2603220ae7a890e8e1027a6362e9aaec880131ce06da58c4e89365ce6d410772.m3u8#https://epg.pw/stream/b63bf1df7bf1e2c47a873d3987c2d59a08d8e4dfed1e197bce7e791eb64eb16e.m3u8#http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民視新聞台,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
東森超視,rtmp://f13h.mine.nu/sat/tv331
非凡新聞,rtmp://f13h.mine.nu/sat/tv581
華視,rtmp://f13h.mine.nu/sat/tv111
華視HD,rtmp://f13h.mine.nu/sat/tv111
華視頻道,rtmp://f13h.mine.nu/sat/tv111
台視,rtmp://f13h.mine.nu/sat/tv071
台視頻道,rtmp://f13h.mine.nu/sat/tv071
緯來日本,rtmp://f13h.mine.nu/sat/tv771
緯來體育,rtmp://f13h.mine.nu/sat/tv721
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
三立Live新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8
三立NEWS+,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8
三立iNEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV01.m3u8#http://tv.redrainl.site:9500/live.m3u8?c=51
三立iNews,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV01.m3u8
三立inews新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV01.m3u8
三立戲劇台,http://61.221.215.25:8800/hls/41/index.m3u8
三立新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8
三立綜合,http://50.7.234.10:8278/sanlizhonghe/playlist.m3u8?tid=m3362167a08a014596868&ct=17874&tsum=4472a7c943b67bf52fe5e836ca9f3b6b
台視新聞 HD,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8#http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4013/playlist.m3u8#http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8#http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
