央视频,#genre#
CGTN阿拉伯语,http://150.138.92.209:2026/migu1080.php?id=609154345
CGTN西班牙语,http://150.138.92.209:2026/migu1080.php?id=609006450
CGTN法语,http://150.138.92.209:2026/migu1080.php?id=609006476
CGTN俄语,http://150.138.92.209:2026/migu1080.php?id=609006446
老故事,http://150.138.92.209:2026/migu1080.php?id=884121956
发现之旅,http://150.138.92.209:2026/migu1080.php?id=624878970
中学生,http://150.138.92.209:2026/migu1080.php?id=708869532
CGTN,http://150.138.92.209:2026/migu1080.php?id=609017205
东方卫视,http://150.138.92.209:2026/migu1080.php?id=651632648
江苏卫视,http://150.138.92.209:2026/migu1080.php?id=623899368
广东卫视,http://150.138.92.209:2026/migu1080.php?id=608831231
江西卫视,http://150.138.92.209:2026/migu1080.php?id=783847495
河南卫视,http://150.138.92.209:2026/migu1080.php?id=790187291
陕西卫视,http://150.138.92.209:2026/migu1080.php?id=738910838
大湾区卫视,http://150.138.92.209:2026/migu1080.php?id=608917627
湖北卫视,http://150.138.92.209:2026/migu1080.php?id=947472496
吉林卫视,http://150.138.92.209:2026/migu1080.php?id=947472500
青海卫视,http://150.138.92.209:2026/migu1080.php?id=947472506
东南卫视,http://150.138.92.209:2026/migu1080.php?id=849116810
海南卫视,http://150.138.92.209:2026/migu1080.php?id=947472502
海峡卫视,http://150.138.92.209:2026/migu1080.php?id=849119120
中国农林卫视,http://150.138.92.209:2026/migu1080.php?id=956904896
兵团卫视,http://150.138.92.209:2026/migu1080.php?id=956923145
上海新闻综合,http://150.138.92.209:2026/migu1080.php?id=651632657
上视东方影视,http://150.138.92.209:2026/migu1080.php?id=617290047
上海第一财经,http://150.138.92.209:2026/migu1080.php?id=608780988
南京新闻综合频道,http://150.138.92.209:2026/migu1080.php?id=838109047
南京教科频道,http://150.138.92.209:2026/migu1080.php?id=838153729
南京十八频道,http://150.138.92.209:2026/migu1080.php?id=838151753
体育休闲频道,http://150.138.92.209:2026/migu1080.php?id=626064707
江苏城市频道,http://150.138.92.209:2026/migu1080.php?id=626064714
江苏国际,http://150.138.92.209:2026/migu1080.php?id=626064674
江苏教育,http://150.138.92.209:2026/migu1080.php?id=628008321
江苏影视频道,http://150.138.92.209:2026/migu1080.php?id=626064697
江苏综艺频道,http://150.138.92.209:2026/migu1080.php?id=626065193
公共新闻频道,http://150.138.92.209:2026/migu1080.php?id=626064693
盐城新闻综合,http://150.138.92.209:2026/migu1080.php?id=639731825
淮安新闻综合,http://150.138.92.209:2026/migu1080.php?id=639731826
泰州新闻综合,http://150.138.92.209:2026/migu1080.php?id=639731818
连云港新闻综合,http://150.138.92.209:2026/migu1080.php?id=639731715
宿迁新闻综合,http://150.138.92.209:2026/migu1080.php?id=639731832
徐州新闻综合,http://150.138.92.209:2026/migu1080.php?id=639731747
优漫卡通频道,http://150.138.92.209:2026/migu1080.php?id=626064703
江阴新闻综合,http://150.138.92.209:2026/migu1080.php?id=955227979
南通新闻综合,http://150.138.92.209:2026/migu1080.php?id=955227985
宜兴新闻综合,http://150.138.92.209:2026/migu1080.php?id=955227996
溧水新闻综合,http://150.138.92.209:2026/migu1080.php?id=639737327
陕西银龄频道,http://150.138.92.209:2026/migu1080.php?id=956909362
陕西都市青春频道,http://150.138.92.209:2026/migu1080.php?id=956909358
陕西体育休闲频道,http://150.138.92.209:2026/migu1080.php?id=956909356
陕西秦腔频道,http://150.138.92.209:2026/migu1080.php?id=956909303
陕西新闻资讯频道,http://150.138.92.209:2026/migu1080.php?id=956909289
财富天下,http://150.138.92.209:2026/migu1080.php?id=956923159
经典香港电影,http://150.138.92.209:2026/migu1080.php?id=625703337
高能悬疑,http://150.138.92.209:2026/migu1080.php?id=625133682
抗战经典影片,http://150.138.92.209:2026/migu1080.php?id=617432318
新片放映厅,http://150.138.92.209:2026/migu1080.php?id=619495952
CHC影迷电影,http://150.138.92.209:2026/migu1080.php?id=952383261
CHC动作电影,http://150.138.92.209:2026/migu1080.php?id=644368714
CHC家庭影院,http://150.138.92.209:2026/migu1080.php?id=644368373
和美乡途轮播台,http://150.138.92.209:2026/migu1080.php?id=713591450
南方影视,http://150.138.92.209:2026/migu1080.php?id=614961829
血色山河·抗日战争影像志,http://150.138.92.209:2026/migu1080.php?id=713600957
CETV1,http://150.138.92.209:2026/migu1080.php?id=923287154
CETV2,http://150.138.92.209:2026/migu1080.php?id=923287211
CETV4,http://150.138.92.209:2026/migu1080.php?id=923287339
五环传奇,http://150.138.92.209:2026/migu1080.php?id=707671890
掼蛋精英赛,http://150.138.92.209:2026/migu1080.php?id=631354620
四海钓鱼,http://150.138.92.209:2026/migu1080.php?id=637444975
咪咕24小时体育台,http://150.138.92.209:2026/migu1080.php?id=654102378
熊猫频道01高清,http://150.138.92.209:2026/migu1080.php?id=609158151
熊猫频道1,http://150.138.92.209:2026/migu1080.php?id=608933610
熊猫频道2,http://150.138.92.209:2026/migu1080.php?id=608933640
熊猫频道3,http://150.138.92.209:2026/migu1080.php?id=608934619
熊猫频道4,http://150.138.92.209:2026/migu1080.php?id=608934721
熊猫频道5,http://150.138.92.209:2026/migu1080.php?id=608935104
熊猫频道6,http://150.138.92.209:2026/migu1080.php?id=608935797
熊猫频道7,http://150.138.92.209:2026/migu1080.php?id=609169286
熊猫频道8,http://150.138.92.209:2026/migu1080.php?id=609169287
熊猫频道9,http://150.138.92.209:2026/migu1080.php?id=609169226
熊猫频道10,http://150.138.92.209:2026/migu1080.php?id=609169285
嘉佳卡通,http://150.138.92.209:2026/migu1080.php?id=614952364
新动力量创一流,http://150.138.92.209:2026/migu1080.php?id=713589837
钱塘江,http://150.138.92.209:2026/migu1080.php?id=647370520

Juli(cdn6+8+v2h),#genre#
翡翠台4K+HDR,http://tgyhycdn.zabc.net:2095/live/fct4k/stream.m3u8
凤凰中文,http://tgyhycdn.zabc.net:2095/live/fhzw/stream.m3u8
CCTV1港澳版,http://tgyhycdn.zabc.net:2095/live/cctv1/stream.m3u8
TVB PLUS,http://tgyhycdn.zabc.net:2095/live/tvbp/stream.m3u8
HOY TV,http://tgyhycdn.zabc.net:2095/live/hoy/stream.m3u8
澳视澳门,http://tgyhycdn.zabc.net:2095/live/asam/stream.m3u8
澳视卫星,http://tgyhycdn.zabc.net:2095/live/as/stream.m3u8
澳门体育,http://tgyhycdn.zabc.net:2095/live/amty/stream.m3u8
澳门综艺,http://tgyhycdn.zabc.net:2095/live/amzy/stream.m3u8
澳门莲花,http://tgyhycdn.zabc.net:2095/live/amlh/stream.m3u8
重温经典,http://tgyhycdn.zabc.net:2095/live/cwjd/stream.m3u8
凤凰资讯,http://tgyhycdn.zabc.net:2095/live/fhzx/stream.m3u8
凤凰香港,http://tgyhycdn.zabc.net:2095/live/fhhk/stream.m3u8
TVB1,http://tgyhycdn.zabc.net:2095/live/tvb1/stream.m3u8
TVBJ1,http://tgyhycdn.zabc.net:2095/live/j1/stream.m3u8
翡翠剧集台,http://tgyhycdn.zabc.net:2095/live/tvbd/stream.m3u8
翡翠台,http://tgyhycdn.zabc.net:2095/live/fct/stream.m3u8
翡翠台,https://mytv.cdn.loc.cc/o12.php?id=fct
明珠台,http://tgyhycdn.zabc.net:2095/live/mzt/stream.m3u8
无线新闻台,http://tgyhycdn.zabc.net:2095/live/wxxw/stream.m3u8
八度空间,http://tgyhycdn.zabc.net:2095/live/8tv/stream.m3u8
CH5,http://tgyhycdn.zabc.net:2095/live/ch5/stream.m3u8
CH8,http://tgyhycdn.zabc.net:2095/live/ch8/stream.m3u8
CHU,http://tgyhycdn.zabc.net:2095/live/chu/stream.m3u8
华丽翡翠台,http://tgyhycdn.zabc.net:2052/live/hlfct/stream.m3u8
TVB亚洲武侠,http://tgyhycdn.zabc.net:2052/live/yzwx/stream.m3u8
TVB娱乐新闻台,http://tgyhycdn.zabc.net:2052/live/ylxw/stream.m3u8
无线新闻台,http://tgyhycdn.zabc.net:2052/live/wxxw/stream.m3u8
TVB星河,http://tgyhycdn.zabc.net:2052/live/tvbxh/stream.m3u8
龙华电影,http://tgyhycdn.zabc.net:2082/163189/lhdy?163189
龙华经典,http://tgyhycdn.zabc.net:2082/163189/lhjd?163189
龙华卡通,http://tgyhycdn.zabc.net:2082/163189/lhkt?163189
龙华偶像,http://tgyhycdn.zabc.net:2082/163189/lhox?163189
龙华日韩,http://tgyhycdn.zabc.net:2082/163189/lhrh?163189
龙华戏剧,http://tgyhycdn.zabc.net:2082/163189/lhxj?163189
龙华洋片,http://tgyhycdn.zabc.net:2082/163189/lhyp?163189

Mytvsuper,#genre#
PopC,http://mytvsuper.webn.cc:2052/stream/mytv/popc/master.m3u8?u=yhy&p=447c04d6fbd1b6db532939627946d3ee4532fbe69a842ccfe439df51e0fff326
黄金华剧台,http://mytvsuper.webn.cc:2052/stream/mytv/null-2/master.m3u8?u=yhy&p=447c04d6fbd1b6db532939627946d3ee4532fbe69a842ccfe439df51e0fff326
美亚电影台,http://mytvsuper.webn.cc:2052/stream/mytv/null-4/master.m3u8?u=yhy&p=447c04d6fbd1b6db532939627946d3ee4532fbe69a842ccfe439df51e0fff326
天映经典,http://mytvsuper.webn.cc:2052/stream/mytv/null-5/master.m3u8?u=yhy&p=447c04d6fbd1b6db532939627946d3ee4532fbe69a842ccfe439df51e0fff326
爱自然,http://mytvsuper.webn.cc:2052/stream/mytv/lovenature/master.m3u8?u=yhy&p=447c04d6fbd1b6db532939627946d3ee4532fbe69a842ccfe439df51e0fff326
Animax,http://mytvsuper.webn.cc:2052/stream/mytv/animax/master.m3u8?u=yhy&p=447c04d6fbd1b6db532939627946d3ee4532fbe69a842ccfe439df51e0fff326


YouTube推流,#genre#
寰宇新闻,http://dbmhufa.zabc.net:2086/tsfile/live/1012_1.m3u8?key=bcj7pcv4
寰宇新闻台湾台,http://dbmhufa.zabc.net:2086/tsfile/live/1013_1.m3u8?key=bcj7pcv4
台視新聞,http://dbmhufa.zabc.net:2086/tsfile/live/1014_1.m3u8?key=bcj7pcv4
中視新聞,http://dbmhufa.zabc.net:2086/tsfile/live/1015_1.m3u8?key=aldw58vm
民視新聞,http://dbmhufa.zabc.net:2086/tsfile/live/1016_1.m3u8?key=7gmq3rak
公視新聞,http://dbmhufa.zabc.net:2086/tsfile/live/1017_1.m3u8?key=d58moujl
华视新聞,http://dbmhufa.zabc.net:2086/tsfile/live/1018_1.m3u8?key=d58moujl
中天新闻,http://dbmhufa.zabc.net:2086/tsfile/live/1021_1.m3u8?key=gpu0ipl7
中天新闻2,http://dbmhufa.zabc.net:2086/tsfile/live/1022_1.m3u8?key=gpu0ipl7
鏡新聞,http://dbmhufa.zabc.net:2086/tsfile/live/1026_1.m3u8?key=tzub8qj0
中視綜藝,http://dbmhufa.zabc.net:2086/tsfile/live/1036_1.m3u8?key=z9q908iy



轮播频道,#genre#
红楼梦,https://live.ottiptv.cc/huya/30080221
新三国,https://live.ottiptv.cc/huya/11352944
老三国,https://live.ottiptv.cc/huya/11602081
斯诺克主台,https://live.ottiptv.cc/huya/880214
斯诺克副台,https://live.ottiptv.cc/huya/880625
JJ斗地主,https://live.ottiptv.cc/huya/152698
云顶之弈,https://live.ottiptv.cc/huya/660133
金铲铲,https://live.ottiptv.cc/huya/660579
王者荣耀,https://live.ottiptv.cc/huya/660002
B站热门赛事,http://live.iill.top/bilibili/10
Dota2,http://live.ottiptv.cc/huya/660118
英雄联盟,http://live.ottiptv.cc/huya/660000
王者荣耀,http://live.ottiptv.cc/huya/660002
跑跑卡丁车手游,https://live.iill.top/douyu/6672862
跑跑卡丁车,https://live.iill.top/douyu/7722576
神探狄仁杰,https://live.iill.top/douyu/6027991

咪咕体育,#genre#
1月5日01:25西甲_阿拉维斯vs皇家奥维耶多,https://mgev.188766.xyz/play?migutoken=501c6a7475bdb08513be4de4a37cc976&id=PQxzT46VkH1RrZbZcdxp3evnLtxUpn3mELcmRfvHTHrjdjj31N03qWKAlTqht9n5CknRlS%2FdlP5oYy9CF1r1Id23sG6VqvQ4914Wmr4UzFMucB8KwRsOlUB%2BGquKgzdk2PfGgmC%2Fo%2B8UgvpycJ5fjCEFFdqmjz1uPBZEVReql36IXQXcV8s1n4%2B1jdxYlIy8fBkmQbLfXPVpMRkPuUKOsE2D45tNB6LDo3CD0qHSw049XPAs4W5yb94oMKI%2BfK8dYjoXUFAwPgeePxgfW5EvXjRguwv1B4hZNhEeDQs%2FQrymcrx8z44I48ayMtHpVYwKoeyOWScaDpyS0RL1Uxh%2F9RCJyw%2BGM2zWMGRZ6RiMrKOdvQyCpWYBIagsaDMFM1TRwcw6FkpQZXoH2%2B2uvyJ4Kg%3D%3D&name=TuQ1Ccu8yxDFXabeGg8%2BUT8ujZG6NNolo25gGfNRPDkXyQ8z0NYnzJprcjBzACHdwgmhRY4xCOievt2sB4oJ1oGmFjw7614MNBfYPh38Spw%3D
1月5日02:00_NFL常规赛_NFL常规赛第十八周redzone达阵区,https://mgev.188766.xyz/play?migutoken=dc1385666e77df7b0b836f3120a67ff3&id=RtVB%2Fmwveth8dQSLh83rr%2F5llv0ctiSfWP337dhPHSaWemKv%2F5svhJE8ogx%2BfsofBoC1PcLybDdmdV1A5hLI3rF7DZA1R9Q8XY67uqUcTTgcYlSdTSG8ue2khsaXkD4RD7RhX%2FClFyDsxzK1j36CpGvYPY78cUV5JoP4Xb2Egz6WrIlhKaa%2FW97gbhi70%2BJIw3Dl6rH7Dpg%2FQTyDCjNCvdpbH99m2RchQaed%2FrTwaDVXKdbDH%2FpqrR1aHJ13gAT%2BCU8x58TLV9dFs0%2Fcfp8fbHFQWwS99p83c83h%2FRXIrKg%3D&name=0IxzFuLv7Q1eWBfgEygvHM5jDzRLdCZUABqQBCdKRSOmNb1BU1lJUivnU%2FowRPYHRT%2FNhBubi6Pzqpqp0OumNsq45OoymQqltsxapumBzSDZseIOlYH6cxuFNBui3V3V
1月5日02:00_NFL常规赛_圣徒vs猎鹰,https://mgev.188766.xyz/play?migutoken=d2e57372766d9615a6d1db6fb66d92d6&id=IPe%2B%2FxakHJAKvWaToXEr5pp57binNzIeBa7jDrQ%2Bhzr%2F44qczikeZARNJJtSeoQJwq1XijDrRrj7AqdfkyvnNvvJ3YyI7bqUx0mKuYVWKfKtlqQYxv%2Bh%2BrVkF0iQP%2Bn4vb0%2Bo%2FbjCoXz0nyzkFJQc1Oo147CLOXF4lLBqKanszqdwt2OwHMuAc1aJdlNe1a18ghMSxwzY6VNAX%2FVt6NnSlLvPga6d3OC4BEp5AR65ZFe4%2F1ZFVyRuHKC1MoR4BMgkz%2BDuyvCGoXCtLs%2BdcDsoeUny5ChSML1dXj1UwZealc%3D&name=cObKAERIq51%2BEEChSN1Pltvtnr0k9BsieC%2B4cebN28qoy%2FO6PYWtO1Nd%2BovPlfqnv4mbl45TtBTVQ2dWH0UykA%3D%3D
1月5日02:00_NFL常规赛_小马vs德州人 邱超,https://mgev.188766.xyz/play?migutoken=d1c88e584ee0fa88503590acfe5c1101&id=CtRAtzgyTCZszOnJKXa6KgNUGkSmYI%2B0QU%2BB3VLe8KPrLy48ZgO3KXfIoWcSvvHGbI4PK9kI10b3gta1mS0ugNnRPRj3HscYYA5dh6EggUe39oJWLU9vG4iHzZylTnNJwIgZp4I57G2FS0qDks2PY4QCawAzqjqQxmuGexzCi52Aq85shJpwnvXqbz8i9AlUfap4fMQCTexKzd8NYLqJ9GEqVL8hT%2F44BPeR81ZYbh8gr%2B3Mf%2FiPOYMr0KOR3XvHn5i0gwIL7MLRcypEU%2F4Q6eH3Qgid%2B7mXICpy4WQeV%2Bc%3D&name=TszGAcSguMGJ55iwGgEnlK6lB0zpPfWy3aRj5YDnCHHXiW4Z9TuOEKKEsTSKseL1tFU5DMihcyRtWbxVcq%2B1ul6x32N47Il8V%2BHx%2B3yHrbc%3D
1月5日02:00_NFL常规赛_小马vs德州人 英文原音,https://mgev.188766.xyz/play?migutoken=d9b3b125df8d69492f0840ab5c0543c1&id=BzOoXfr81G2Kg8Jo%2BCCR371VvJI3bEmt9z7A%2FdT5hHKO6yTZ3xBu9j4pQODj8BJ9PxRIiySNmj2udSP9Z2rjFrncbjaRy9CLVJLBl3y%2Fu9ZbTptmrEJsxP242FpZtZEY2yoMqRkRkfyo4caG1nLCRgvz8shqA3yY9atjcIpq8fBMld7s3b3EZSLgXQoniPT%2Fe4NqHi5tMkOrYAvPHD72x0MqSA8yxEpNgnyQTboONW2gNS3KoydxHUZcfbJdZC99p%2BGAYQ62p%2Fqm3DaiNsslykAJW2QiRXT8qF4vkWOdFB4%3D&name=W0oMSi7r8Ixy3s%2FHEcUk4%2BpiuVzujh0ABX1div7H%2BIj6uUgkTCgjR6SfJZmWghlmsrXIsgFTOrYYzUBK0ZNcVryEIXEjjYvDfPi5l7Ykhhk%3D
1月5日02:00_NFL常规赛_泰坦vs美洲虎 杨木,https://mgev.188766.xyz/play?migutoken=213688cf0f14afaabaae83247aafcddf&id=1IGhgcWu%2B0xdaldXMsqe2MpgDNrFwRj4KMx64DWxHyI2yn1x%2BNqiaHsamEtfjDPgSows%2BENnHNiZmlkI8jKkftbS6J%2FcrE4OGM0RY9QUbz0B4Sx4OolrmAqXruI4%2BK03%2Bz9axbNaQ1NR9vj1tQ7bXmRA6yR7is7FpXnDsVMUYbwIwKBIWdebD9MwmW2Km%2Fypera4K1GDuTuJtX4NVWca2yebvZspS%2FS0WxS9DmtmJCyEw2TAH5KIeg1bsd2uA5lWzIga4U9nvIJyP4Khx9C5XqZ5kQMWlogeS6AiZnIRtAg%3D&name=g166ugwaIkrjIgXaXjO2NPHO7Fqglg4KXrf1zZ81uxBapSyzQTC2BcIqYHdqygrjWIQ8oQ6IlOrGv%2BXfZucMwgs79Jrwixx3NmiE7ixD%2Fu0%3D
1月5日02:00_NFL常规赛_泰坦vs美洲虎 英文原音,https://mgev.188766.xyz/play?migutoken=533bc13c83091c8123b0b937e192b437&id=0WdQ%2F74FodUTX3HOfM36Tk4BOHNw4zjVQ6i9EK05OS9d%2Fv%2BFBquGTKbjwj0SnkAgrBXtFnR%2BNqYIZUoa67OvQjBUZKj3vQNfUVBAzopf0QP9Rp853EM4Xt6g%2FcdtlzdJ%2BOCtrakcKjTl5zpm8DiRT%2BqGD7eK5HSyq3elVSOJYN5UCLg8MH66ERtXKXHncZYQJP6kRCFGFb%2FStdcdfl%2FT9gOu0NOLnMeJdhozTlhZw7SBhMO3TNWMdZ%2BoQn53t%2BJoJTfSuD0BwP68G8gAhm5JMuvGR0z1je4arMSb2Qg7Lyw%3D&name=vnKzD%2FAlxFU%2F3koWt169AtFMZsVJgKiDhGjAGbO%2FO%2FIlFLjpUW5AGKJF5r5jqvxaHNiYH2w6QwUeh%2F13lgB9x8ByEB0Zh7dj4IEVXNrWThg%3D
1月5日03:00_NBA常规赛_活塞vs骑士 胡鹤明,https://mgev.188766.xyz/play?migutoken=1c70c25fd43a583e72c4ff64a76ba749&id=N4DQDNiJIqNiLCTtbtoZD0oSlI%2FHd65AbRbEiQCU2kEmdY3X%2FrxTpbLTtR8dDYsBWWoD5z0D1e7XY7n%2BmCZ8MEp89wQ%2BVnOehW33x0dxrowU%2BFcG09LelatNV2hjEq7ug13U0YA0UwwVlbDT3pf9GU0amGOKjWslqercTHG5VRhqje%2BsQAbEjtl6pY1M94lyKk5wrrzsdaidZN2EpoldGvWPKRy8CNstVyDjfhfmMjleej4PAmG9RCcTUhOqqciWgy2%2B%2BhI4gHI8h0oXXHKuvqOP8z5YPhGYQ8ZX%2BJkVngY%3D&name=5koAbM3%2BnRIwkfagVMjLUocFVy8nc4X4z%2FLc5nb740krubepR6hx%2BZEPP2B4Mr%2FvZDdQahgWmNtQGaX2iahBTMbuHd2ZwcP%2BV1tk9%2BfXELY%3D
