咪咕频道,#genre#
CCTV-7HD,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000127&pwd=jsdecode
CCTV-7HD,http://223.85.50.233:8085/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8HD,http://222.173.9.81/00/SNM/CHANNEL00000362/index.m3u8
CCTV-8HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv8hd&pwd=jsdecode
CCTV-8HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv8hd&pwd=jsdecode
CCTV-8HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=dx&id=cctv8hd&pwd=jsdecode
CCTV-8HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=lt&id=cctv8hd&pwd=jsdecode
CCTV-8HD,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000066&pwd=jsdecode
CCTV-8HD,http://223.85.50.233:8085/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9HD,kdsvod://http://v.91kds.com/c7/cctvxw.m3u8?bt=2&id=cctv9hd&pwd=jsdecode
CCTV-9HD,http://222.173.9.81/00/SNM/CHANNEL00000319/index.m3u8
CCTV-9HD,kdsvod://http://v.91kds.com/b7/cctvxw.m3u8?bt=2&id=cctv9hd&pwd=jsdecode@@Referer=https://m-live.cctvnews.cctv.com/@@
CCTV-9HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv9hd&pwd=jsdecode
CCTV-9HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv9hd&pwd=jsdecode
CCTV-9HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=dx&id=cctv9hd&pwd=jsdecode
CCTV-9HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=lt&id=cctv9hd&pwd=jsdecode
CCTV-9HD,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000128&pwd=jsdecode
CCTV-9HD,http://223.85.50.233:8085/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10HD,kdsvod://http://v.91kds.com/c7/cctvxw.m3u8?bt=2&id=cctv10hd&pwd=jsdecode
CCTV-10HD,http://222.173.9.81/00/SNM/CHANNEL00000321/index.m3u8
CCTV-10HD,kdsvod://http://v.91kds.com/b7/cctvxw.m3u8?bt=2&id=cctv10hd&pwd=jsdecode@@Referer=https://m-live.cctvnews.cctv.com/@@
CCTV-10HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv10hd&pwd=jsdecode
CCTV-10HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=dx&id=cctv10hd&pwd=jsdecode
CCTV-10HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=lt&id=cctv10hd&pwd=jsdecode
CCTV-10HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv10hd&pwd=jsdecode
CCTV-10HD,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000129&pwd=jsdecode
CCTV-10HD,http://223.85.50.233:8085/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11HD,http://222.173.9.81/00/SNM/CHANNEL00000344/index.m3u8
CCTV-11HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv11hd&pwd=jsdecode
CCTV-11HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=dx&id=cctv11hd&pwd=jsdecode
CCTV-11HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=lt&id=cctv11hd&pwd=jsdecode
CCTV-11HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv11hd&pwd=jsdecode
CCTV-11HD,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000130&pwd=jsdecode
CCTV-11HD,http://223.85.50.233:8085/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12HD,kdsvod://http://v.91kds.com/c7/cctvxw.m3u8?bt=2&id=cctv12hd&pwd=jsdecode
CCTV-12HD,http://222.173.9.81/00/SNM/CHANNEL00000322/index.m3u8
CCTV-12HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv12hd&pwd=jsdecode
CCTV-12HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=dx&id=cctv12hd&pwd=jsdecode
CCTV-12HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=lt&id=cctv12hd&pwd=jsdecode
CCTV-12HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv12hd&pwd=jsdecode
CCTV-12HD,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000131&pwd=jsdecode
CCTV-12HD,http://223.85.50.233:8085/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13HD,kdsvod://http://v.91kds.com/c7/cctvxw.m3u8?bt=2&id=cctv14hd&pwd=jsdecode
CCTV-13HD,http://222.173.9.81/00/SNM/CHANNEL00000345/index.m3u8
CCTV-13HD,kdsvod://http://v.91kds.com/b7/zbzg.m3u8?id=cctv13hd&pwd=jsdecode
CCTV-13HD,kdsvod://http://v.91kds.com/b7/cctvxw.m3u8?bt=2&id=cctv13hd&pwd=jsdecode@@Referer=https://m-live.cctvnews.cctv.com/@@
CCTV-13HD,https://live-auth.51kandianshi.com/szgd/cctv13.m3u8
CCTV-13HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv13hd&pwd=jsdecode
CCTV-13HD,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000067&pwd=jsdecode
CCTV-13HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=dx&id=cctv13hd&pwd=jsdecode
CCTV-13HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=lt&id=cctv13hd&pwd=jsdecode
CCTV-13HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv13hd&pwd=jsdecode
CCTV-13HD,http://223.85.50.233:8085/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14HD,http://222.173.9.81/00/SNM/CHANNEL00000323/index.m3u8
CCTV-14HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv14hd&pwd=jsdecode
CCTV-14HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=dx&id=cctv14hd&pwd=jsdecode
CCTV-14HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=lt&id=cctv14hd&pwd=jsdecode
CCTV-14HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv14hd&pwd=jsdecode
CCTV-14HD,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000132&pwd=jsdecode
CCTV-14HD,http://223.85.50.233:8085/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15HD,http://222.173.9.81/00/SNM/CHANNEL00000346/index.m3u8
CCTV-15HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv15hd&pwd=jsdecode
CCTV-15HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=dx&id=cctv15hd&pwd=jsdecode
CCTV-15HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=lt&id=cctv15hd&pwd=jsdecode
CCTV-15HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv15hd&pwd=jsdecode
CCTV-15HD,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000133&pwd=jsdecode
CCTV-15HD,http://223.85.50.233:8085/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv16hd&pwd=jsdecode
CCTV-16HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=dx&id=cctv16hd&pwd=jsdecode
CCTV-16HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=lt&id=cctv16hd&pwd=jsdecode
CCTV-16HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv16hd&pwd=jsdecode
CCTV-17HD,kdsvod://http://v.91kds.com/c7/cctvxw.m3u8?bt=2&id=cctv17hd&pwd=jsdecode
CCTV-17HD,http://222.173.9.81/00/SNM/CHANNEL00000303/index.m3u8
CCTV-17HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv17hd&pwd=jsdecode
CCTV-17HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=dx&id=cctv17hd&pwd=jsdecode
CCTV-17HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=lt&id=cctv17hd&pwd=jsdecode
CCTV-17HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv17hd&pwd=jsdecode
CCTV-17HD,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000204&pwd=jsdecode
CCTV-17HD,http://223.85.50.233:8085/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+HD,http://222.173.9.81/00/SNM/CHANNEL00000316/index.m3u8
CCTV-5+HD,htmlplay://https://m.miguvideo.com/m/liveDetail/641886773?channelId=10010001005
CCTV-5+HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv5p&pwd=jsdecode
CCTV-5+HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv5p&pwd=jsdecode
CCTV-5+HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=dx&id=cctv5p&pwd=jsdecode
CCTV-5+HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=lt&id=cctv5p&pwd=jsdecode
CCTV-5+HD,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000246&pwd=jsdecode
CCTV-5+HD,http://media.hndyjyfw.gov.cn/live/jz-cctv-5-plus/live.m3u8@@Referer=https://www.hndyjyfw.gov.cn/@@
CCTV-5+HD,http://223.85.50.233:8085/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4中文国际欧洲,http://222.173.9.81/00/SNM/CHANNEL00000350/index.m3u8
CCTV-4中文国际欧洲,htmlplay://https://m.miguvideo.com/m/liveDetail/608807419?channelId=10010001005
CCTV-4中文国际欧洲,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv4o&pwd=jsdecode
CCTV-4中文国际欧洲,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv4o&pwd=jsdecode
CCTV-4中文国际欧洲,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv4o&pwd=jsdecode
CCTV-4中文国际美洲,http://222.173.9.81/00/SNM/CHANNEL00000351/index.m3u8
CCTV-4中文国际美洲,htmlplay://https://m.miguvideo.com/m/liveDetail/608807416?channelId=10010001005
CCTV-4中文国际美洲,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv4m&pwd=jsdecode
CCTV-4中文国际美洲,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv4m&pwd=jsdecode
CCTV-4中文国际美洲,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv4m&pwd=jsdecode
CCTV-4中文国际美洲,https://hc73k3dhwo5gfkt.wcetv.com/hls/cctv4.m3u8
CCTV-4中文国际美洲,https://hc73k3dhwo5gfkt.wcetv.com/hls/wcetv318.m3u8
重温经典,kdsvod://http://v.91kds.com/b7/zbzg.m3u8?id=cwjd&pwd=jsdecode
重温经典,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000635&pwd=jsdecode
重温经典,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000636&pwd=jsdecode
重温经典,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cwjd&pwd=jsdecode
重温经典,http://hebcx.chinashadt.com:2036/live/10002.stream/playlist.m3u8
CCTV-4K超高清,kdsvod://http://v.91kds.com/c7/cctvxw.m3u8?bt=2&id=cctv4k&pwd=jsdecode
CCTV-4K超高清,kdsvod://http://v.91kds.com/b7/cctvxw.m3u8?bt=2&id=cctv4k&pwd=jsdecode@@Referer=https://m-live.cctvnews.cctv.com/@@
CCTV-4K超高清,kdsvod://http://v.91kds.com/b7/cctvxw.m3u8?bt=1&id=cctv4k&pwd=jsdecode@@Referer=https://m-live.cctvnews.cctv.com/@@
CCTV-4K超高清,kdsvod://http://v.91kds.com/b7/cctvxw.m3u8?bt=0&id=cctv4k&pwd=jsdecode@@Referer=https://m-live.cctvnews.cctv.com/@@
CCTV-4K超高清,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=dx&id=cctv4k&pwd=jsdecode
CCTV-4K超高清,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=lt&id=cctv4k&pwd=jsdecode
CCTV-怀旧剧场,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000224&pwd=jsdecode
CCTV-怀旧剧场,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=hjjc&pwd=jsdecode
CCTV-怀旧剧场,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=hjjc&pwd=jsdecode
CCTV-第一剧场,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=dyjc&pwd=jsdecode
CCTV-第一剧场,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=dyjc&pwd=jsdecode
CCTV-风云剧场,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=fyjc&pwd=jsdecode
CCTV-风云剧场,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=fyjc&pwd=jsdecode
CCTV-风云音乐,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=fyyy&pwd=jsdecode
CCTV-风云音乐,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=fyyy&pwd=jsdecode
CCTV-风云足球,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000225&pwd=jsdecode
CCTV-风云足球,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=fyzq&pwd=jsdecode
CCTV-风云足球,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=fyzq&pwd=jsdecode
CCTV-兵器科技,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=gfjs&pwd=jsdecode
CCTV-兵器科技,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=gfjs&pwd=jsdecode
CCTV-世界地理,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000177&pwd=jsdecode
CCTV-世界地理,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=sjdl&pwd=jsdecode
CCTV-世界地理,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=sjdl&pwd=jsdecode
CCTV-女性时尚,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000176&pwd=jsdecode
CCTV-女性时尚,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=nxss&pwd=jsdecode
CCTV-女性时尚,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=nxss&pwd=jsdecode
CCTV-央视台球,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=ystq&pwd=jsdecode
CCTV-央视台球,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=ystq&pwd=jsdecode
CCTV-电视指南,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000164&pwd=jsdecode
CCTV-电视指南,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=dszn&pwd=jsdecode
CCTV-电视指南,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=dszn&pwd=jsdecode
CCTV-高尔夫网球,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=gefwq&pwd=jsdecode
CCTV-高尔夫网球,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=gefwq&pwd=jsdecode
CCTV-央视文化精品,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=ysjp&pwd=jsdecode
CCTV-央视文化精品,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=ysjp&pwd=jsdecode
CCTV-卫生健康,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=wsjk&pwd=jsdecode
CCTV-中视购物,http://222.173.9.81/00/SNM/CHANNEL00000702/index.m3u8
CCTV-中视购物,http://222.173.9.81/00/SNM/CHANNEL20000010/index.m3u8
CCTV-中视购物,kdsvod://http://v.91kds.com/b7/polyv.m3u8?id=zsgw&pwd=jsdecode
CCTV-中视购物,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=zsgw&pwd=jsdecode
CCTV-中视购物,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=zsgw&pwd=jsdecode
CCTV-戏曲,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctvxq&pwd=jsdecode
CCTV-戏曲,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=lt&id=cctvxq&pwd=jsdecode
CCTV-戏曲,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=dx&id=cctvxq&pwd=jsdecode
CCTV-娱乐,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctvyl&pwd=jsdecode
中国电影,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=zgdy&pwd=jsdecode
中国电影,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=zgdy&pwd=jsdecode
1905电影频道,kdsvod://http://v.91kds.com/b7/1905.m3u8?id=1905tv&pwd=jsdecode@@Referer=https://www.1905.com/1905tv/live/@@
CCTV-1综合,http://222.173.9.81/00/SNM/CHANNEL00000001/index.m3u8
CCTV-1综合,kdsvod://http://v.91kds.com/b7/cctvxw.m3u8?bt=1&id=cctv1hd&pwd=jsdecode@@Referer=https://m-live.cctvnews.cctv.com/@@
CCTV-1综合,kdsvod://http://v.91kds.com/b7/cctvxw.m3u8?bt=0&id=cctv1hd&pwd=jsdecode@@Referer=https://m-live.cctvnews.cctv.com/@@
CCTV-1综合,htmlplay://https://m.miguvideo.com/m/liveDetail/608807420?channelId=10010001005
CCTV-1综合,https://a.xttv.top/xttv/27f43e697655f4d44c62d7f4d32fcctv.m3u8?auth_key=2145888000-0-0-fda7ddb73d3cb5ac5bddf4eeba9b665e
CCTV-1综合,https://wfrtv-live-tz.wfcmw.cn:5443/live/cctv.m3u8
CCTV-1综合,kdsvod://http://v.91kds.com/c7/sxy.m3u8?id=cctv1&pwd=jsdecode
CCTV-1综合,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv1&pwd=jsdecode
CCTV-1综合,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv1&pwd=jsdecode
CCTV-1综合,rtmp://play.kankanlive.com/live/1698234869325962
CCTV-1综合,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv1&pwd=jsdecode
CCTV-1综合,http://fjwysdb.chinashadt.com:2036/live/3.stream/playlist.m3u8
CCTV-1综合,http://media.hndyjyfw.gov.cn/live/jz-cctv-1/live.m3u8@@Referer=https://www.hndyjyfw.gov.cn/@@
CCTV-1综合,http://play.kankanlive.com/live/1698234869325962.m3u8
CCTV-1综合,http://hebcx.chinashadt.com:2036/live/10003.stream/playlist.m3u8
CCTV-1综合,kdsvod://http://v.91kds.com/b7/jxycfc.m3u8?id=cctv1&pwd=jsdecode
CCTV-2财经,kdsvod://http://v.91kds.com/b7/cctvxw.m3u8?bt=1&id=cctv2hd&pwd=jsdecode@@Referer=https://m-live.cctvnews.cctv.com/@@
