✈️ TG频道@stymei,#genre#
CCTV1,https://live.chinacert.cftest5.cn/cnmg/live/608807420
CCTV2,https://live.chinacert.cftest5.cn/cnmg/live/631780532
CCTV3,https://live.chinacert.cftest5.cn/cnmg/live/624878271
CCTV4,https://live.chinacert.cftest5.cn/cnmg/live/631780421
CCTV5,https://live.chinacert.cftest5.cn/cnmg/live/641886683
CCTV5+,https://live.chinacert.cftest5.cn/cnmg/live/641886773
CCTV6,https://live.chinacert.cftest5.cn/cnmg/live/624878396
CCTV7,https://live.chinacert.cftest5.cn/cnmg/live/673168121
CCTV8,https://live.chinacert.cftest5.cn/cnmg/live/624878356
CCTV9,https://live.chinacert.cftest5.cn/cnmg/live/673168140
CCTV10,https://live.chinacert.cftest5.cn/cnmg/live/624878405
CCTV11,https://live.chinacert.cftest5.cn/cnmg/live/667987558
CCTV12,https://live.chinacert.cftest5.cn/cnmg/live/673168185
CCTV13,https://live.chinacert.cftest5.cn/cnmg/live/608807423
CCTV14,https://live.chinacert.cftest5.cn/cnmg/live/624878440
CCTV15,https://live.chinacert.cftest5.cn/cnmg/live/673168223
CCTV17,https://live.chinacert.cftest5.cn/cnmg/live/673168256
CCTV4欧洲,https://live.chinacert.cftest5.cn/cnmg/live/608807419
CCTV4美洲,https://live.chinacert.cftest5.cn/cnmg/live/608807416
CGTN外语纪录,https://live.chinacert.cftest5.cn/cnmg/live/609006487
CGTN阿拉伯语,https://live.chinacert.cftest5.cn/cnmg/live/609154345
CGTN西班牙语,https://live.chinacert.cftest5.cn/cnmg/live/609006450
CGTN法语,https://live.chinacert.cftest5.cn/cnmg/live/609006476
CGTN俄语,https://live.chinacert.cftest5.cn/cnmg/live/609006446
老故事,https://live.chinacert.cftest5.cn/cnmg/live/884121956
发现之旅,https://live.chinacert.cftest5.cn/cnmg/live/624878970
中学生,https://live.chinacert.cftest5.cn/cnmg/live/708869532
CGTN,https://live.chinacert.cftest5.cn/cnmg/live/609017205
赛事最经典,https://live.chinacert.cftest5.cn/cnmg/live/646596895
体坛名栏汇,https://live.chinacert.cftest5.cn/cnmg/live/629943305
四海钓鱼,https://live.chinacert.cftest5.cn/cnmg/live/637444975
陕西体育休闲频道,https://live.chinacert.cftest5.cn/cnmg/live/956909356
24小时城市联赛轮播台,https://live.chinacert.cftest5.cn/cnmg/live/915512915
武术世界,https://live.chinacert.cftest5.cn/cnmg/live/958475359
快乐垂钓,https://live.chinacert.cftest5.cn/cnmg/live/961930263
东方卫视,https://live.chinacert.cftest5.cn/cnmg/live/651632648
江苏卫视,https://live.chinacert.cftest5.cn/cnmg/live/623899368
广东卫视,https://live.chinacert.cftest5.cn/cnmg/live/608831231
北京卫视,https://live.chinacert.cftest5.cn/cnmg/live/630287636
辽宁卫视,https://live.chinacert.cftest5.cn/cnmg/live/630291707
河北卫视,https://live.chinacert.cftest5.cn/cnmg/live/962042070
江西卫视,https://live.chinacert.cftest5.cn/cnmg/live/783847495
河南卫视,https://live.chinacert.cftest5.cn/cnmg/live/790187291
陕西卫视,https://live.chinacert.cftest5.cn/cnmg/live/738910838
大湾区卫视,https://live.chinacert.cftest5.cn/cnmg/live/608917627
湖北卫视,https://live.chinacert.cftest5.cn/cnmg/live/947472496
吉林卫视,https://live.chinacert.cftest5.cn/cnmg/live/947472500
青海卫视,https://live.chinacert.cftest5.cn/cnmg/live/947472506
东南卫视,https://live.chinacert.cftest5.cn/cnmg/live/849116810
海南卫视,https://live.chinacert.cftest5.cn/cnmg/live/947472502
海峡卫视,https://live.chinacert.cftest5.cn/cnmg/live/849119120
中国农林卫视,https://live.chinacert.cftest5.cn/cnmg/live/956904896
兵团卫视,https://live.chinacert.cftest5.cn/cnmg/live/956923145
宁夏卫视,https://live.chinacert.cftest5.cn/cnmg/live/738910535
重庆卫视,https://live.chinacert.cftest5.cn/cnmg/live/738910914
三沙卫视,https://live.chinacert.cftest5.cn/cnmg/live/961023778
上海新闻综合,https://live.chinacert.cftest5.cn/cnmg/live/651632657
上视东方影视,https://live.chinacert.cftest5.cn/cnmg/live/617290047
上海第一财经,https://live.chinacert.cftest5.cn/cnmg/live/608780988
南京新闻综合频道,https://live.chinacert.cftest5.cn/cnmg/live/838109047
南京教科频道,https://live.chinacert.cftest5.cn/cnmg/live/838153729
南京十八频道,https://live.chinacert.cftest5.cn/cnmg/live/838151753
体育休闲频道,https://live.chinacert.cftest5.cn/cnmg/live/626064707
江苏城市频道,https://live.chinacert.cftest5.cn/cnmg/live/626064714
江苏国际,https://live.chinacert.cftest5.cn/cnmg/live/626064674
江苏教育,https://live.chinacert.cftest5.cn/cnmg/live/628008321
江苏影视频道,https://live.chinacert.cftest5.cn/cnmg/live/626064697
江苏综艺频道,https://live.chinacert.cftest5.cn/cnmg/live/626065193
公共新闻频道,https://live.chinacert.cftest5.cn/cnmg/live/626064693
盐城新闻综合,https://live.chinacert.cftest5.cn/cnmg/live/639731825
淮安新闻综合,https://live.chinacert.cftest5.cn/cnmg/live/639731826
泰州新闻综合,https://live.chinacert.cftest5.cn/cnmg/live/639731818
连云港新闻综合,https://live.chinacert.cftest5.cn/cnmg/live/639731715
宿迁新闻综合,https://live.chinacert.cftest5.cn/cnmg/live/639731832
徐州新闻综合,https://live.chinacert.cftest5.cn/cnmg/live/639731747
优漫卡通频道,https://live.chinacert.cftest5.cn/cnmg/live/626064703
江阴新闻综合,https://live.chinacert.cftest5.cn/cnmg/live/955227979
南通新闻综合,https://live.chinacert.cftest5.cn/cnmg/live/955227985
宜兴新闻综合,https://live.chinacert.cftest5.cn/cnmg/live/955227996
溧水新闻综合,https://live.chinacert.cftest5.cn/cnmg/live/639737327
陕西银龄频道,https://live.chinacert.cftest5.cn/cnmg/live/956909362
陕西都市青春频道,https://live.chinacert.cftest5.cn/cnmg/live/956909358
陕西秦腔频道,https://live.chinacert.cftest5.cn/cnmg/live/956909303
陕西新闻资讯频道,https://live.chinacert.cftest5.cn/cnmg/live/956909289
财富天下,https://live.chinacert.cftest5.cn/cnmg/live/956923159
镇江新闻综合,https://live.chinacert.cftest5.cn/cnmg/live/639731783
海南广播电视总台新闻频道,https://live.chinacert.cftest5.cn/cnmg/live/962067517
海南广播电视总台自贸频道,https://live.chinacert.cftest5.cn/cnmg/live/962045226
海南广播电视总台社会与法频道,https://live.chinacert.cftest5.cn/cnmg/live/962045223
海南广播电视总台文旅频道,https://live.chinacert.cftest5.cn/cnmg/live/962067526
海南广播电视总台少儿频道,https://live.chinacert.cftest5.cn/cnmg/live/962067523
经典香港电影,https://live.chinacert.cftest5.cn/cnmg/live/625703337
抗战经典影片,https://live.chinacert.cftest5.cn/cnmg/live/617432318
新片放映厅,https://live.chinacert.cftest5.cn/cnmg/live/619495952
CHC影迷电影,https://live.chinacert.cftest5.cn/cnmg/live/952383261
CHC动作电影,https://live.chinacert.cftest5.cn/cnmg/live/644368714
CHC家庭影院,https://live.chinacert.cftest5.cn/cnmg/live/644368373
和美乡途轮播台,https://live.chinacert.cftest5.cn/cnmg/live/713591450
南方影视,https://live.chinacert.cftest5.cn/cnmg/live/614961829
中国航天“逆袭”之路,https://live.chinacert.cftest5.cn/cnmg/live/713600957
CETV1,https://live.chinacert.cftest5.cn/cnmg/live/923287154
CETV2,https://live.chinacert.cftest5.cn/cnmg/live/923287211
CETV4,https://live.chinacert.cftest5.cn/cnmg/live/923287339
山东教育,https://live.chinacert.cftest5.cn/cnmg/live/609154353
熊猫频道01,https://live.chinacert.cftest5.cn/cnmg/live/609158151
熊猫频道1,https://live.chinacert.cftest5.cn/cnmg/live/608933610
熊猫频道2,https://live.chinacert.cftest5.cn/cnmg/live/608933640
熊猫频道3,https://live.chinacert.cftest5.cn/cnmg/live/608934619
熊猫频道4,https://live.chinacert.cftest5.cn/cnmg/live/608934721
熊猫频道5,https://live.chinacert.cftest5.cn/cnmg/live/608935104
熊猫频道6,https://live.chinacert.cftest5.cn/cnmg/live/608935797
熊猫频道7,https://live.chinacert.cftest5.cn/cnmg/live/609169286
熊猫频道8,https://live.chinacert.cftest5.cn/cnmg/live/609169287
熊猫频道9,https://live.chinacert.cftest5.cn/cnmg/live/609169226
熊猫频道10,https://live.chinacert.cftest5.cn/cnmg/live/609169285
最强综艺趴,https://live.chinacert.cftest5.cn/cnmg/live/629942228
嘉佳卡通,https://live.chinacert.cftest5.cn/cnmg/live/614952364
经典动画大集合,https://live.chinacert.cftest5.cn/cnmg/live/629942219
新动漫,https://live.chinacert.cftest5.cn/cnmg/live/961930269
新动力量创一流,https://live.chinacert.cftest5.cn/cnmg/live/713589837
中华特产,https://live.chinacert.cftest5.cn/cnmg/live/959986618
环球旅游,https://live.chinacert.cftest5.cn/cnmg/live/958475356
梨园频道,https://live.chinacert.cftest5.cn/cnmg/live/961930369
咪咕河北,#genre#
中国天气,http://2280.eu.org:1234/959986621
CCTV1,http://2280.eu.org:1234/608807420
CCTV2,http://2280.eu.org:1234/631780532
CCTV3,http://2280.eu.org:1234/624878271
CCTV4,http://2280.eu.org:1234/631780421
CCTV5,http://2280.eu.org:1234/641886683
CCTV5+,http://2280.eu.org:1234/641886773
CCTV6,http://2280.eu.org:1234/624878396
CCTV7,http://2280.eu.org:1234/673168121
CCTV8,http://2280.eu.org:1234/624878356
CCTV9,http://2280.eu.org:1234/673168140
CCTV10,http://2280.eu.org:1234/624878405
CCTV11,http://2280.eu.org:1234/667987558
CCTV12,http://2280.eu.org:1234/673168185
CCTV13,http://2280.eu.org:1234/608807423
CCTV14,http://2280.eu.org:1234/624878440
CCTV15,http://2280.eu.org:1234/673168223
CCTV17,http://2280.eu.org:1234/673168256
CCTV4欧洲,http://2280.eu.org:1234/608807419
CCTV4美洲,http://2280.eu.org:1234/608807416
CGTN外语纪录,http://2280.eu.org:1234/609006487
CGTN阿拉伯语,http://2280.eu.org:1234/609154345
CGTN西班牙语,http://2280.eu.org:1234/609006450
CGTN法语,http://2280.eu.org:1234/609006476
CGTN俄语,http://2280.eu.org:1234/609006446
老故事,http://2280.eu.org:1234/884121956
发现之旅,http://2280.eu.org:1234/624878970
中学生,http://2280.eu.org:1234/708869532
CGTN,http://2280.eu.org:1234/609017205
赛事最经典,http://2280.eu.org:1234/646596895
体坛名栏汇,http://2280.eu.org:1234/629943305
四海钓鱼,http://2280.eu.org:1234/637444975
陕西体育休闲频道,http://2280.eu.org:1234/956909356
24小时城市联赛轮播台,http://2280.eu.org:1234/915512915
武术世界,http://2280.eu.org:1234/958475359
快乐垂钓,http://2280.eu.org:1234/961930263
东方卫视,http://2280.eu.org:1234/651632648
江苏卫视,http://2280.eu.org:1234/623899368
广东卫视,http://2280.eu.org:1234/608831231
北京卫视,http://2280.eu.org:1234/630287636
辽宁卫视,http://2280.eu.org:1234/630291707
河北卫视,http://2280.eu.org:1234/962042070
江西卫视,http://2280.eu.org:1234/783847495
河南卫视,http://2280.eu.org:1234/790187291
陕西卫视,http://2280.eu.org:1234/738910838
大湾区卫视,http://2280.eu.org:1234/608917627
湖北卫视,http://2280.eu.org:1234/947472496
吉林卫视,http://2280.eu.org:1234/947472500
青海卫视,http://2280.eu.org:1234/947472506
东南卫视,http://2280.eu.org:1234/849116810
海南卫视,http://2280.eu.org:1234/947472502
海峡卫视,http://2280.eu.org:1234/849119120
中国农林卫视,http://2280.eu.org:1234/956904896
兵团卫视,http://2280.eu.org:1234/956923145
宁夏卫视,http://2280.eu.org:1234/738910535
重庆卫视,http://2280.eu.org:1234/738910914
三沙卫视,http://2280.eu.org:1234/961023778
上海新闻综合,http://2280.eu.org:1234/651632657
上视东方影视,http://2280.eu.org:1234/617290047
上海第一财经,http://2280.eu.org:1234/608780988
南京新闻综合频道,http://2280.eu.org:1234/838109047
南京教科频道,http://2280.eu.org:1234/838153729
南京十八频道,http://2280.eu.org:1234/838151753
体育休闲频道,http://2280.eu.org:1234/626064707
江苏城市频道,http://2280.eu.org:1234/626064714
江苏国际,http://2280.eu.org:1234/626064674
江苏教育,http://2280.eu.org:1234/628008321
江苏影视频道,http://2280.eu.org:1234/626064697
江苏综艺频道,http://2280.eu.org:1234/626065193
公共新闻频道,http://2280.eu.org:1234/626064693
盐城新闻综合,http://2280.eu.org:1234/639731825
淮安新闻综合,http://2280.eu.org:1234/639731826
泰州新闻综合,http://2280.eu.org:1234/639731818
连云港新闻综合,http://2280.eu.org:1234/639731715
宿迁新闻综合,http://2280.eu.org:1234/639731832
徐州新闻综合,http://2280.eu.org:1234/639731747
优漫卡通频道,http://2280.eu.org:1234/626064703
江阴新闻综合,http://2280.eu.org:1234/955227979
南通新闻综合,http://2280.eu.org:1234/955227985
宜兴新闻综合,http://2280.eu.org:1234/955227996
溧水新闻综合,http://2280.eu.org:1234/639737327
陕西银龄频道,http://2280.eu.org:1234/956909362
陕西都市青春频道,http://2280.eu.org:1234/956909358
陕西秦腔频道,http://2280.eu.org:1234/956909303
陕西新闻资讯频道,http://2280.eu.org:1234/956909289
财富天下,http://2280.eu.org:1234/956923159
镇江新闻综合,http://2280.eu.org:1234/639731783
海南广播电视总台新闻频道,http://2280.eu.org:1234/962067517
海南广播电视总台自贸频道,http://2280.eu.org:1234/962045226
海南广播电视总台社会与法频道,http://2280.eu.org:1234/962045223
海南广播电视总台文旅频道,http://2280.eu.org:1234/962067526
海南广播电视总台少儿频道,http://2280.eu.org:1234/962067523
经典香港电影,http://2280.eu.org:1234/625703337
抗战经典影片,http://2280.eu.org:1234/617432318
新片放映厅,http://2280.eu.org:1234/619495952
CHC影迷电影,http://2280.eu.org:1234/952383261
CHC动作电影,http://2280.eu.org:1234/644368714
CHC家庭影院,http://2280.eu.org:1234/644368373
和美乡途轮播台,http://2280.eu.org:1234/713591450
南方影视,http://2280.eu.org:1234/614961829
中国航天“逆袭”之路,http://2280.eu.org:1234/713600957
CETV1,http://2280.eu.org:1234/923287154
CETV2,http://2280.eu.org:1234/923287211
CETV4,http://2280.eu.org:1234/923287339
山东教育,http://2280.eu.org:1234/609154353
熊猫频道01,http://2280.eu.org:1234/609158151
熊猫频道1,http://2280.eu.org:1234/608933610
熊猫频道2,http://2280.eu.org:1234/608933640
熊猫频道3,http://2280.eu.org:1234/608934619
熊猫频道4,http://2280.eu.org:1234/608934721
熊猫频道5,http://2280.eu.org:1234/608935104
熊猫频道6,http://2280.eu.org:1234/608935797
熊猫频道7,http://2280.eu.org:1234/609169286
熊猫频道8,http://2280.eu.org:1234/609169287
熊猫频道9,http://2280.eu.org:1234/609169226
熊猫频道10,http://2280.eu.org:1234/609169285
最强综艺趴,http://2280.eu.org:1234/629942228
嘉佳卡通,http://2280.eu.org:1234/614952364
经典动画大集合,http://2280.eu.org:1234/629942219
新动漫,http://2280.eu.org:1234/961930269
新动力量创一流,http://2280.eu.org:1234/713589837
中华特产,http://2280.eu.org:1234/959986618
环球旅游,http://2280.eu.org:1234/958475356
梨园频道,http://2280.eu.org:1234/961930369
咪咕重庆,#genre#
中国天气,http://112.85.93.6:7788/959986621
CCTV1,http://112.85.93.6:7788/608807420
CCTV2,http://112.85.93.6:7788/631780532
CCTV3,http://112.85.93.6:7788/624878271
CCTV4,http://112.85.93.6:7788/631780421
CCTV5,http://112.85.93.6:7788/641886683
CCTV5+,http://112.85.93.6:7788/641886773
CCTV6,http://112.85.93.6:7788/624878396
CCTV7,http://112.85.93.6:7788/673168121
CCTV8,http://112.85.93.6:7788/624878356
CCTV9,http://112.85.93.6:7788/673168140
CCTV10,http://112.85.93.6:7788/624878405
CCTV11,http://112.85.93.6:7788/667987558
CCTV12,http://112.85.93.6:7788/673168185
CCTV13,http://112.85.93.6:7788/608807423
CCTV14,http://112.85.93.6:7788/624878440
CCTV15,http://112.85.93.6:7788/673168223
CCTV17,http://112.85.93.6:7788/673168256
CCTV4欧洲,http://112.85.93.6:7788/608807419
CCTV4美洲,http://112.85.93.6:7788/608807416
CGTN外语纪录,http://112.85.93.6:7788/609006487
CGTN阿拉伯语,http://112.85.93.6:7788/609154345
CGTN西班牙语,http://112.85.93.6:7788/609006450
CGTN法语,http://112.85.93.6:7788/609006476
CGTN俄语,http://112.85.93.6:7788/609006446
老故事,http://112.85.93.6:7788/884121956
发现之旅,http://112.85.93.6:7788/624878970
中学生,http://112.85.93.6:7788/708869532
CGTN,http://112.85.93.6:7788/609017205
赛事最经典,http://112.85.93.6:7788/646596895
体坛名栏汇,http://112.85.93.6:7788/629943305
四海钓鱼,http://112.85.93.6:7788/637444975
陕西体育休闲频道,http://112.85.93.6:7788/956909356
24小时城市联赛轮播台,http://112.85.93.6:7788/915512915
武术世界,http://112.85.93.6:7788/958475359
快乐垂钓,http://112.85.93.6:7788/961930263
东方卫视,http://112.85.93.6:7788/651632648
江苏卫视,http://112.85.93.6:7788/623899368
广东卫视,http://112.85.93.6:7788/608831231
北京卫视,http://112.85.93.6:7788/630287636
辽宁卫视,http://112.85.93.6:7788/630291707
河北卫视,http://112.85.93.6:7788/962042070
江西卫视,http://112.85.93.6:7788/783847495
河南卫视,http://112.85.93.6:7788/790187291
陕西卫视,http://112.85.93.6:7788/738910838
大湾区卫视,http://112.85.93.6:7788/608917627
湖北卫视,http://112.85.93.6:7788/947472496
吉林卫视,http://112.85.93.6:7788/947472500
青海卫视,http://112.85.93.6:7788/947472506
东南卫视,http://112.85.93.6:7788/849116810
海南卫视,http://112.85.93.6:7788/947472502
海峡卫视,http://112.85.93.6:7788/849119120
中国农林卫视,http://112.85.93.6:7788/956904896
兵团卫视,http://112.85.93.6:7788/956923145
宁夏卫视,http://112.85.93.6:7788/738910535
重庆卫视,http://112.85.93.6:7788/738910914
三沙卫视,http://112.85.93.6:7788/961023778
上海新闻综合,http://112.85.93.6:7788/651632657
上视东方影视,http://112.85.93.6:7788/617290047
上海第一财经,http://112.85.93.6:7788/608780988
南京新闻综合频道,http://112.85.93.6:7788/838109047
南京教科频道,http://112.85.93.6:7788/838153729
南京十八频道,http://112.85.93.6:7788/838151753
体育休闲频道,http://112.85.93.6:7788/626064707
江苏城市频道,http://112.85.93.6:7788/626064714
江苏国际,http://112.85.93.6:7788/626064674
江苏教育,http://112.85.93.6:7788/628008321
江苏影视频道,http://112.85.93.6:7788/626064697
江苏综艺频道,http://112.85.93.6:7788/626065193
公共新闻频道,http://112.85.93.6:7788/626064693
盐城新闻综合,http://112.85.93.6:7788/639731825
淮安新闻综合,http://112.85.93.6:7788/639731826
泰州新闻综合,http://112.85.93.6:7788/639731818
连云港新闻综合,http://112.85.93.6:7788/639731715
宿迁新闻综合,http://112.85.93.6:7788/639731832
徐州新闻综合,http://112.85.93.6:7788/639731747
优漫卡通频道,http://112.85.93.6:7788/626064703
江阴新闻综合,http://112.85.93.6:7788/955227979
南通新闻综合,http://112.85.93.6:7788/955227985
宜兴新闻综合,http://112.85.93.6:7788/955227996
溧水新闻综合,http://112.85.93.6:7788/639737327
陕西银龄频道,http://112.85.93.6:7788/956909362
陕西都市青春频道,http://112.85.93.6:7788/956909358
陕西秦腔频道,http://112.85.93.6:7788/956909303
陕西新闻资讯频道,http://112.85.93.6:7788/956909289
财富天下,http://112.85.93.6:7788/956923159
镇江新闻综合,http://112.85.93.6:7788/639731783
海南广播电视总台新闻频道,http://112.85.93.6:7788/962067517
海南广播电视总台自贸频道,http://112.85.93.6:7788/962045226
海南广播电视总台社会与法频道,http://112.85.93.6:7788/962045223
海南广播电视总台文旅频道,http://112.85.93.6:7788/962067526
海南广播电视总台少儿频道,http://112.85.93.6:7788/962067523
经典香港电影,http://112.85.93.6:7788/625703337
抗战经典影片,http://112.85.93.6:7788/617432318
新片放映厅,http://112.85.93.6:7788/619495952
CHC影迷电影,http://112.85.93.6:7788/952383261
CHC动作电影,http://112.85.93.6:7788/644368714
CHC家庭影院,http://112.85.93.6:7788/644368373
和美乡途轮播台,http://112.85.93.6:7788/713591450
南方影视,http://112.85.93.6:7788/614961829
中国航天“逆袭”之路,http://112.85.93.6:7788/713600957
CETV1,http://112.85.93.6:7788/923287154
CETV2,http://112.85.93.6:7788/923287211
CETV4,http://112.85.93.6:7788/923287339
山东教育,http://112.85.93.6:7788/609154353
熊猫频道01,http://112.85.93.6:7788/609158151
熊猫频道1,http://112.85.93.6:7788/608933610
熊猫频道2,http://112.85.93.6:7788/608933640
熊猫频道3,http://112.85.93.6:7788/608934619
熊猫频道4,http://112.85.93.6:7788/608934721
熊猫频道5,http://112.85.93.6:7788/608935104
熊猫频道6,http://112.85.93.6:7788/608935797
熊猫频道7,http://112.85.93.6:7788/609169286
熊猫频道8,http://112.85.93.6:7788/609169287
熊猫频道9,http://112.85.93.6:7788/609169226
熊猫频道10,http://112.85.93.6:7788/609169285
最强综艺趴,http://112.85.93.6:7788/629942228
嘉佳卡通,http://112.85.93.6:7788/614952364
经典动画大集合,http://112.85.93.6:7788/629942219
新动漫,http://112.85.93.6:7788/961930269
新动力量创一流,http://112.85.93.6:7788/713589837
中华特产,http://112.85.93.6:7788/959986618
环球旅游,http://112.85.93.6:7788/958475356
梨园频道,http://112.85.93.6:7788/961930369
咪咕西藏,#genre#
中国天气,http://110.41.68.68:1023/959986621
CCTV1,http://110.41.68.68:1023/608807420
CCTV2,http://110.41.68.68:1023/631780532
CCTV3,http://110.41.68.68:1023/624878271
CCTV4,http://110.41.68.68:1023/631780421
CCTV5,http://110.41.68.68:1023/641886683
CCTV5+,http://110.41.68.68:1023/641886773
CCTV6,http://110.41.68.68:1023/624878396
CCTV7,http://110.41.68.68:1023/673168121
CCTV8,http://110.41.68.68:1023/624878356
CCTV9,http://110.41.68.68:1023/673168140
CCTV10,http://110.41.68.68:1023/624878405
CCTV11,http://110.41.68.68:1023/667987558
CCTV12,http://110.41.68.68:1023/673168185
CCTV13,http://110.41.68.68:1023/608807423
CCTV14,http://110.41.68.68:1023/624878440
CCTV15,http://110.41.68.68:1023/673168223
CCTV17,http://110.41.68.68:1023/673168256
CCTV4欧洲,http://110.41.68.68:1023/608807419
CCTV4美洲,http://110.41.68.68:1023/608807416
CGTN外语纪录,http://110.41.68.68:1023/609006487
CGTN阿拉伯语,http://110.41.68.68:1023/609154345
CGTN西班牙语,http://110.41.68.68:1023/609006450
CGTN法语,http://110.41.68.68:1023/609006476
CGTN俄语,http://110.41.68.68:1023/609006446
老故事,http://110.41.68.68:1023/884121956
发现之旅,http://110.41.68.68:1023/624878970
中学生,http://110.41.68.68:1023/708869532
CGTN,http://110.41.68.68:1023/609017205
赛事最经典,http://110.41.68.68:1023/646596895
体坛名栏汇,http://110.41.68.68:1023/629943305
四海钓鱼,http://110.41.68.68:1023/637444975
陕西体育休闲频道,http://110.41.68.68:1023/956909356
24小时城市联赛轮播台,http://110.41.68.68:1023/915512915
武术世界,http://110.41.68.68:1023/958475359
快乐垂钓,http://110.41.68.68:1023/961930263
东方卫视,http://110.41.68.68:1023/651632648
江苏卫视,http://110.41.68.68:1023/623899368
广东卫视,http://110.41.68.68:1023/608831231
北京卫视,http://110.41.68.68:1023/630287636
辽宁卫视,http://110.41.68.68:1023/630291707
河北卫视,http://110.41.68.68:1023/962042070
江西卫视,http://110.41.68.68:1023/783847495
河南卫视,http://110.41.68.68:1023/790187291
陕西卫视,http://110.41.68.68:1023/738910838
大湾区卫视,http://110.41.68.68:1023/608917627
湖北卫视,http://110.41.68.68:1023/947472496
吉林卫视,http://110.41.68.68:1023/947472500
青海卫视,http://110.41.68.68:1023/947472506
东南卫视,http://110.41.68.68:1023/849116810
海南卫视,http://110.41.68.68:1023/947472502
海峡卫视,http://110.41.68.68:1023/849119120
中国农林卫视,http://110.41.68.68:1023/956904896
兵团卫视,http://110.41.68.68:1023/956923145
宁夏卫视,http://110.41.68.68:1023/738910535
重庆卫视,http://110.41.68.68:1023/738910914
三沙卫视,http://110.41.68.68:1023/961023778
上海新闻综合,http://110.41.68.68:1023/651632657
上视东方影视,http://110.41.68.68:1023/617290047
上海第一财经,http://110.41.68.68:1023/608780988
南京新闻综合频道,http://110.41.68.68:1023/838109047
南京教科频道,http://110.41.68.68:1023/838153729
南京十八频道,http://110.41.68.68:1023/838151753
体育休闲频道,http://110.41.68.68:1023/626064707
江苏城市频道,http://110.41.68.68:1023/626064714
江苏国际,http://110.41.68.68:1023/626064674
江苏教育,http://110.41.68.68:1023/628008321
江苏影视频道,http://110.41.68.68:1023/626064697
江苏综艺频道,http://110.41.68.68:1023/626065193
公共新闻频道,http://110.41.68.68:1023/626064693
盐城新闻综合,http://110.41.68.68:1023/639731825
淮安新闻综合,http://110.41.68.68:1023/639731826
泰州新闻综合,http://110.41.68.68:1023/639731818
连云港新闻综合,http://110.41.68.68:1023/639731715
宿迁新闻综合,http://110.41.68.68:1023/639731832
徐州新闻综合,http://110.41.68.68:1023/639731747
优漫卡通频道,http://110.41.68.68:1023/626064703
江阴新闻综合,http://110.41.68.68:1023/955227979
南通新闻综合,http://110.41.68.68:1023/955227985
宜兴新闻综合,http://110.41.68.68:1023/955227996
溧水新闻综合,http://110.41.68.68:1023/639737327
陕西银龄频道,http://110.41.68.68:1023/956909362
陕西都市青春频道,http://110.41.68.68:1023/956909358
陕西秦腔频道,http://110.41.68.68:1023/956909303
陕西新闻资讯频道,http://110.41.68.68:1023/956909289
财富天下,http://110.41.68.68:1023/956923159
镇江新闻综合,http://110.41.68.68:1023/639731783
海南广播电视总台新闻频道,http://110.41.68.68:1023/962067517
海南广播电视总台自贸频道,http://110.41.68.68:1023/962045226
海南广播电视总台社会与法频道,http://110.41.68.68:1023/962045223
海南广播电视总台文旅频道,http://110.41.68.68:1023/962067526
