AV店使用区,#genre#
CCTV-17,http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv17
东方卫视,http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=dfws
吉林卫视,http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=jlws
青海卫视,http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=qhws
陕西卫视,http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=sxws
湖北卫视,http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=hubws
江西卫视,http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=jxws
娱乐直播区,#genre#
抖音姐姐热舞,http://120.77.28.4:8648/douyu.php?id=11531165
国语译制电影,http://120.77.28.4:8648/douyu.php?id=2436390
第一滴血全集,http://jiaojirentv.top/2020/yy.php?id=1354932355
敢死队全轮播,http://jiaojirentv.top/2020/yy.php?id=1382735573
速度与激情集,http://jiaojirentv.top/2020/yy.php?id=1382736911
漫威系列轮播,http://jiaojirentv.top/2020/yy.php?id=1354932402
变形金刚轮播,http://jiaojirentv.top/2020/yy.php?id=1382736803
哈利波特全集,http://jiaojirentv.top/2020/yy.php?id=1382745105
夺宝奇兵全集,http://jiaojirentv.top/2020/yy.php?id=1382736833
机械战警全集,http://jiaojirentv.top/2020/yy.php?id=1382736854
古惑仔国轮播,http://jiaojirentv.top/2020/yy.php?id=1458015189
黑衣一二轮播,http://jiaojirentv.top/2020/yy.php?id=1354930936
叠影重重全集,http://jiaojirentv.top/2020/yy.php?id=1382735570
美剧解说轮播,http://120.77.28.4:8648/douyu.php?id=9643264
经典美剧解说,http://120.77.28.4:8648/douyu.php?id=9123570
雪中悍刀行剧,http://120.77.28.4:8648/huya.php?id=11336592
庆余年电视剧,http://120.77.28.4:8648/huya.php?id=11352960
琅琊榜电视剧,http://zby.xjqxz.top/lyb/live.m3u8
83射雕英雄传,http://jiaojirentv.top/2020/yy.php?id=1354210357
95神雕侠侣粤,http://jiaojirentv.top/2020/yy.php?id=1354926637
96笑傲江湖版,http://jiaojirentv.top/2020/yy.php?id=1354930909
87经典红楼梦,http://jiaojirentv.top/2020/yy.php?id=1382745084
新白娘子轮播,http://jiaojirentv.top/2020/yy.php?id=1354930969
仙剑奇侠传剧,http://jiaojirentv.top/2020/yy.php?id=1382749903
花千骨电视剧,http://jiaojirentv.top/2020/yy.php?id=1354943110
少年歌行剧集,http://jiaojirentv.top/2020/yy.php?id=1450556636
鹊刀门传奇剧,http://jiaojirentv.top/2020/yy.php?id=1355344777
三生三世轮播,http://zby.xjqxz.top/sssszss/live.m3u8
甄嬛传电视剧,http://zby.xjqxz.top/live8/live.m3u8
甄嬛传电视剧,http://120.77.28.4:8648/huya.php?id=30145009
芈月传电视剧,http://120.77.28.4:8648/huya.php?id=11352975
延禧攻略轮播,http://120.77.28.4:8648/huya.php?id=26355864
卿卿日常轮播,http://zby.xjqxz.top/qqrc/live.m3u8
知否知否轮播,http://zby.xjqxz.top/zfzf/live.m3u8
与凤行电视剧,http://120.77.28.4:8648/huya.php?id=26355866
开端电视轮播,http://120.77.28.4:8648/huya.php?id=11342397
我的体育老师,http://jiaojirentv.top/2020/yy.php?id=1382745169
如果岁月轮播,http://jiaojirentv.top/2020/yy.php?id=1382736883
流金岁月轮播,http://jiaojirentv.top/2020/yy.php?id=1382749906
向风而行轮播,http://zby.xjqxz.top/xfex/live.m3u8
欢乐颂电视剧,http://120.77.28.4:8648/douyu.php?id=3756989
好先生电视剧,http://120.77.28.4:8648/douyu.php?id=9650792
我的前半生剧,http://jiaojirentv.top/2020/yy.php?id=1382735564
伪装者电视剧,http://jiaojirentv.top/2020/yy.php?id=1354936244
警察荣誉轮播,http://zby.xjqxz.top/live16/live.m3u8
雪豹电视轮播,http://120.77.28.4:8648/huya.php?id=29580970
火蓝刀锋轮播,http://jiaojirentv.top/2020/yy.php?id=1382737892
二炮手电视剧,http://jiaojirentv.top/2020/yy.php?id=1354930964
炮神电视轮播,http://jiaojirentv.top/2020/yy.php?id=22089862
风筝电视轮播,http://jiaojirentv.top/2020/yy.php?id=1354931585
武林外传轮播,http://jiaojirentv.top/2020/yy.php?id=1355652820
科幻Fans轮播,http://120.77.28.4:8648/douyu.php?id=3508304
科幻解说轮播,http://120.77.28.4:8648/douyu.php?id=9338839
科幻梦工场播,http://120.77.28.4:8648/huya.php?id=15152155
笑声传奇轮播,http://jiaojirentv.top/2020/yy.php?id=1382736880
笑傲帮集轮播,http://jiaojirentv.top/2020/yy.php?id=1382735555
笑傲江湖一季,http://jiaojirentv.top/2020/yy.php?id=1382749896
笑傲江湖二季,http://jiaojirentv.top/2020/yy.php?id=1382736914
欢乐集结号播,http://jiaojirentv.top/2020/yy.php?id=1354931582
欢乐集结号三,http://jiaojirentv.top/2020/yy.php?id=1382736822
欢乐集结号四,http://jiaojirentv.top/2020/yy.php?id=1382736889
脱口秀大会肆,http://120.77.28.4:8648/huya.php?id=30080243
脱口秀大会伍,http://120.77.28.4:8648/huya.php?id=11352875
吐槽大会京都,http://jiaojirentv.top/2020/yy.php?id=1354936210
吐槽大会海天,http://jiaojirentv.top/2020/yy.php?id=1354932379
吐槽大会二季,http://jiaojirentv.top/2020/yy.php?id=1354936145
吐槽大会五季,http://jiaojirentv.top/2020/yy.php?id=1354889009
娱乐扒叔轮播,http://120.77.28.4:8648/douyu.php?id=9624581
粤语剧集轮播,http://120.77.28.4:8648/douyu.php?id=10338873
粤语综艺轮播,http://120.77.28.4:8648/douyu.php?id=7919720
粤语星爷电影,http://120.77.28.4:8648/huya.php?id=11336587
粤语极清电影,https://pullhw.zhaoyangyang.cn/live/8739010.flv?auth_info=kDFxSSVzg%2BlGYtnRiFSuOlaPIGp30SlBCet13URz4H0%3D.67583858586a3571596d63476b564b74
粤语版电影一,http://120.77.28.4:8648/douyu.php?id=5033502
粤语版电影二,http://120.77.28.4:8648/douyu.php?id=6566671
粤语版电影三,http://120.77.28.4:8648/douyu.php?id=1226741
星空卫视频道,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
星空卫视频道,http://110.185.240.152:55555/udp/239.93.0.156:2193
动作电影频道,http://ds920.dsmynas.net:5555/rtp/226.0.2.94:8012%24%E5%B1%B1%E8%A5%BFuni2+
家庭影院频道,http://ds920.dsmynas.net:5555/rtp/226.0.2.240:9820%24%E5%B1%B1%E8%A5%BFuni2+
影迷电影频道,http://ds920.dsmynas.net:5555/rtp/226.0.2.93:8004%24%E5%B1%B1%E8%A5%BFuni2+
港澳台包区,#genre#QQ群284268101QQ群284268101QQ群284268101QQ群284268101
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
八大戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8
AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
49号,http://61.221.215.25:8800/hls/49/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
台北台湾区,#genre
中天新闻4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv009
东森新闻4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv152
tvbs新闻4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv072
寰宇新闻4Gtv,http://litv.zapi.us.kg/?id=litv-longturn14
非凡新闻4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv010
闽镜新闻4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv075
民视新闻4Gtv,http://litv.zapi.us.kg/?id=litv-ftv13
中视新闻4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv074
华视新闻4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv052
台视新闻4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv051
民视闽南4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv002
民视闽南4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv155
中视闽南4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv040
华视闽南4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv041
台视闽南4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv066
寰宇闽南4Gtv,http://litv.zapi.us.kg/?id=litv-longturn15
tvbs闽南4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv073
民视台湾4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv001
民视台湾4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv156
民视第一4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv003
民视旅游4Gtv,http://litv.zapi.us.kg/?id=litv-ftv07
民视影剧4Gtv,http://litv.zapi.us.kg/?id=litv-ftv09
民视综艺4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv004
中视菁采4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv064
中视经典4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv080
台视财经4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv056
公视戏剧4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv042
闽南戏剧4Gtv,http://litv.zapi.us.kg/?id=litv-longturn22
国际财经4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv104
东森财经4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv153
tvbs精采4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv067
tvbs欢乐4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv068
八大精彩4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv034
八大综艺4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv039
爱尔达娱乐台,http://litv.zapi.us.kg/?id=4gtv-4gtv070
靖洋戏剧4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv045
靖洋卡通4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv057
靖天卡通4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv044
靖天综合4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv046
靖天日本4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv047
靖天欢乐4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv054
靖天映画4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv055
靖天戏剧4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv058
靖天电影4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv061
靖天育乐4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv062
靖天国际4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv063
靖天资讯4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv065
龙华卡通4Gtv,http://litv.zapi.us.kg/?id=litv-longturn01
龙华日韩4Gtv,http://litv.zapi.us.kg/?id=litv-longturn11
龙华偶像4Gtv,http://litv.zapi.us.kg/?id=litv-longturn12
龙华电影4Gtv,http://litv.zapi.us.kg/?id=litv-longturn03
龙华戏剧4Gtv,http://litv.zapi.us.kg/?id=litv-longturn18
龙华经典4Gtv,http://litv.zapi.us.kg/?id=litv-longturn21
国会频道壹台,http://litv.zapi.us.kg/?id=4gtv-4gtv084
国会频道贰台,http://litv.zapi.us.kg/?id=4gtv-4gtv085
好消息壹4Gtv,http://litv.zapi.us.kg/?id=litv-ftv16
好消息贰4Gtv,http://litv.zapi.us.kg/?id=litv-ftv17
智林体育4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv101
博斯魅力4Gtv,http://litv.zapi.us.kg/?id=litv-longturn04
博斯网球4Gtv,http://litv.zapi.us.kg/?id=litv-longturn09
阿里郎频道台,http://litv.zapi.us.kg/?id=4gtv-4gtv079
达文西频道台,http://litv.zapi.us.kg/?id=4gtv-4gtv018
猪哥亮歌厅台,http://litv.zapi.us.kg/?id=4gtv-4gtv006
亚洲旅游4Gtv,http://litv.zapi.us.kg/?id=litv-longturn17
美国之音4Gtv,http://litv.zapi.us.kg/?id=litv-ftv03
半岛新闻4Gtv,http://litv.zapi.us.kg/?id=litv-ftv10
非凡商业4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv048
第壹商业4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv109
爱放动漫4Gtv,http://litv.zapi.us.kg/?id=litv-ftv15
古典音乐4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv059
客家电视4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv043
华仁纪实4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv013
时尚运动4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv014
生活英语4Gtv,http://litv.zapi.us.kg/?id=litv-longturn20
采昌影剧4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv049
数位电影4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv011
Amc电影4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv017
CAT电影4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv076
TRA体育4Gtv,http://litv.zapi.us.kg/?id=4gtv-4gtv077
SMArt知识台,http://litv.zapi.us.kg/?id=litv-longturn19
龙翔时代,p3p://108.181.32.169:25738/642d014b0009f96e092658cb4e1b23ff
星河粤,p3p://108.181.32.169:25738/641021c50003c5af985dddf037af353c
星河国,p3p://108.181.32.169:25738/641021e900026b0f985e6a374d7d56bb
无线功夫,p3p://108.181.32.169:25738/6411291b0004b01b9c62861646d00929
无线娱乐,p3p://108.181.32.169:25738/64102219000c6f74985f28485a5a5799
无线经典,p3p://108.181.32.169:25738/6410219e0000704b985d44bd2a501d47
无线粤片,p3p://108.181.32.169:25738/643361c7000d4bee220f05703b541d41
无线华剧,p3p://108.181.32.169:25738/643361e10003610a220f68773c0b4c78
无线戏曲,p3p://108.181.32.169:25738/64336236000b18a12210b67722665e99
黄金翡翠,p3p://108.181.32.169:25738/6533f6f8000f2ebd2d03af9d53e46544
黄金华剧,p3p://108.181.32.169:25738/64206c63000c3a90d801201c5fe2483a
有线资讯,p3p://108.181.32.169:25738/6427e50e0008e093f53042b347a45e2f
有线综讯,p3p://108.181.32.169:25738/641022340009a273985f91092cb6113d
有线赛讯,p3p://108.181.32.169:25738/6533f044000117a52ce97ce95ac54bb3
有线赛马,p3p://108.181.32.169:25738/6533f34d0002237a2cf5584a11195950
Astr剧集粤,p3p://108.181.32.169:25738/6427ba150003a8b2f48864c0637f78d5
Astr综合,p3p://108.181.32.169:25738/64124c2d0006c6eba0d384f41e28720a
Astr欢喜,p3p://108.181.32.169:25738/64124caf0002a78fa0d57fb777596e7b
Astr爱奇艺,p3p://108.181.32.169:25738/649672870005e0a5a5062d0e1384610b
Astr综艺,p3p://108.181.32.169:25738/64124cfa00001c82a0d6a40858217ea4
now财经,p3p://108.181.32.169:25738/641020d00004bf91985a212731011c3c
now爆谷,p3p://108.181.32.169:25738/641af90c000328bac2b691f11db2274a
now星影粤,p3p://108.181.32.169:25738/64124d6a00062ff8a0d85b176a3f19bd
now星影国,p3p://108.181.32.169:25738/641af926000cc2b9c2b6f9f75c8d2b97
美亚电影粤,p3p://108.181.32.169:25738/6410224e00097a01985ff68e53d22e70
天映粤,p3p://108.181.32.169:25738/64124e0f00045619a0dadf2552b73bf8
天映,p3p://108.181.32.169:25738/64124e2b000b454ba0db4e4b137c6137
虎牙直播区,#genre#QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
未来频道,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8
邵氏影院,http://maomao.kandiantv.cn/douyu1.php?id=4246519
邵氏影院,http://maomao.kandiantv.cn/douyu1.php?id=4246519
周星星,http://120.77.28.4:8648/huya.php?id=11336587
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
小鬼头,http://120.77.28.4:8648/huya.php?id=11352963
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
刘德华,http://120.77.28.4:8648/huya.php?id=11342424
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
许冠英,http://120.77.28.4:8648/huya.php?id=11601972
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
李连杰,http://120.77.28.4:8648/huya.php?id=11342390
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
甄子丹,http://120.77.28.4:8648/huya.php?id=11352935
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
星爷,http://120.77.28.4:8648/huya.php?id=11342412
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
英叔,http://120.77.28.4:8648/huya.php?id=11342421
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
成龙,http://120.77.28.4:8648/huya.php?id=11342386
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
王晶,http://120.77.28.4:8648/huya.php?id=11602058
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
沈腾,http://120.77.28.4:8648/huya.php?id=11601968
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
黄渤,http://120.77.28.4:8648/huya.php?id=11352876
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
吴京,http://120.77.28.4:8648/huya.php?id=11602041
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
强森,http://120.77.28.4:8648/huya.php?id=21059581
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
怪兽,http://120.77.28.4:8648/huya.php?id=21059577
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
武侠,http://120.77.28.4:8648/huya.php?id=11342427
罪犯,http://120.77.28.4:8648/huya.php?id=11352962
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
枪战,http://120.77.28.4:8648/huya.php?id=21059579
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
盗墓,http://120.77.28.4:8648/huya.php?id=21059552
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
贺岁,http://120.77.28.4:8648/huya.php?id=11601971
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
玄幻,http://120.77.28.4:8648/huya.php?id=11342414
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
喜剧,http://120.77.28.4:8648/huya.php?id=11352877
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
港片,http://120.77.28.4:8648/huya.php?id=11602043
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
国产,http://120.77.28.4:8648/huya.php?id=11352973
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
喜剧专场,http://120.77.28.4:8648/huya.php?id=11602044
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
高分动作,http://120.77.28.4:8648/huya.php?id=11352884
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
不挤影院,http://120.77.28.4:8648/huya.php?id=11352897
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
黑帮斗争,http://120.77.28.4:8648/huya.php?id=11342419
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
嫣然影厅,http://120.77.28.4:8648/huya.php?id=11601977
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
女神系列,http://120.77.28.4:8648/huya.php?id=11336571
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
经典女神,http://120.77.28.4:8648/huya.php?id=11352909
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
许氏三杰,http://120.77.28.4:8648/huya.php?id=11602033
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
经典港片,http://120.77.28.4:8648/huya.php?id=11352965
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
经典港片,http://120.77.28.4:8648/yy.php?id=1355263385
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
镖行天下,http://120.77.28.4:8648/huya.php?id=11352969
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
蘑菇影厅,http://120.77.28.4:8648/huya.php?id=11601981
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
搞笑恐怖,http://120.77.28.4:8648/huya.php?id=11601960
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
死神来了,http://120.77.28.4:8648/huya.php?id=11352903
QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264QQ群581550264
电影_发哥,http://120.77.28.4:8648/huya.php?id=11342387
